"access_restricted","original_format__001","original_format__002","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","index","group__001","group__002","group__003","group__004","title","online_format__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","location__001","location__002","number_former_id__-","location__003","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","count","dates","language__-","url","items","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014"
"False","collection","photo, print, drawing","american tobacco company","http://www.loc.gov/collections/baseball-cards/about-this-collection/","digital collections","baseball cards","prints and photographs division","","","","sports & recreation","portrait photographs","portrait prints","group portraits","baseball cards","cigarette cards","photographic prints","halftone photomechanical prints","chromolithographs","1","collections-portal","","","","Baseball Cards","","","","","","north america","united states","","canada","True","<p>The Benjamin K. Edwards Collection includes 2,100 early baseball cards dating from 1887 to 1914. Distributed in cigarette packs, these cards were the forerunners of modern sports trading cards. They portray such legendary figures of the game as Ty Cobb stealing third base for Detroit, Tris Speaker batting for Boston, and pitcher Cy Young posing in his Cleveland uniform. Although many of the greatest players from the first decades of professional baseball are represented, the collection does not include individual cards for either Honus Wagner or Babe Ruth.</p>    <figure class=""image-align-left"">  <a  href=""/resource/bbc.0006f/""><img       src=""/collections/static/baseball-cards/images/Ward0006.jpg""       alt="""" /></a>  <figcaption><a href=""/item/2007678538/"">John M. Ward, New York Giants, baseball card portrait</a></figcaption>  </figure>    <p>Baseball cards were first issued during the 1880s when tobacco companies used them to promote sales. Although they also served periodically to stiffen soft cigarette packages, advertising was their primary function, for as early as 1887 cards and cigarettes were packed in more rigid ""slide and shell"" boxes which had no need for reinforcement. Although the cards vary in design and format, most are 2 5/8 x 1 1/2 inches, much smaller than today's trading cards. Two exceptions are the large format sets of Turkey Red Cabinets and Old Judge Cabinets, produced as premiums in exchange for coupons distributed in cigarette packs (see information about the <a href=""/collections/baseball-cards/articles-and-essays/baseball-cards-1887-1914-card-sets-in-chronological-order/"">  card sets in chronological order</a>). Issued either as black-and-white photographs or color prints, the cards portray ballplayers both in action scenes and formal poses.</p>    <p>More than one thousand major and minor league ballplayers, from teams n thirteen identified leagues and seventy-five cities in the United States and Canada, are represented in the collection. They include celebrated stars playing for storied major league clubs in Boston, Brooklyn, Cleveland, Detroit, New York, Philadelphia, and St. Louis, along with more obscure <a href=""/collections/baseball-cards/?q=&fa=Subject%3Aminor+league"">minor leaguers</a> performing in Birmingham, Little Rock, Memphis, Norfolk, Oakland, Providence, Richmond, Shreveport, Toledo, and elsewhere. Canadian cities represented include Montreal, Toronto, Vancouver, and Victoria.</p>            <figure class=""image-align-right"">  <a href=""/resource/bbc.0767f/""><img src=""/collections/static/baseball-cards/images/0767fr.jpg"" alt="""" /></a>  <figcaption><a href=""/item/2008676467/"">Rebel Oakes, Cincinnati Reds, baseball card portrait</a></figcaption>  </figure>    <p>Major leaguers account for more than three-quarters of the images in the collection. Great <a href=""/collections/baseball-cards/?q=&fa=Subject%3Apitcher"">pitchers</a> from the period include Cy Young, Walter Johnson, Christy Mathewson, Smoky Joe Wood, Chief Bender, Joe McGinnity, Eddie Plank, Rube Marquard, and Rube Waddell, among others. Hall of Fame field players include King Kelly, Cap Anson, Home Run Baker, Dan Brouthers, Ed Delahanty, Eddie Collins, Buck Ewing, Wee Willie Keeler, Napoleon Lajoie, and Zack Wheat. Researchers may also find notable player partnerships, such as the immortal Cubs infield trio of <a href=""/collections/baseball-cards/articles-and-essays/tinkers-to-evers-to-chance/"">Joe Tinker, Johnny Evers, and Frank Chance</a> or the talented Red Sox outfield comprised of Tris Speaker, Duffy Lewis, and Harry Hooper. Connie Mack, John McGraw, and Charles Comiskey are among the game's outstanding early <a href=""/collections/baseball-cards/?q=&fa=Subject%3Amanager"">managers</a> depicted.</p>     <p>Apart from the wealth of baseball lore and history the Edwards Collection represents, it also provides a rich resource for the study of commercial advertising and printing processes from the period. The earliest cards were issued either as straightforward black-and-white <a href=""/collections/baseball-cards/?fa=Subject%3Aphotographic+prints"">photographs</a> or color <a href=""/collections/baseball-cards/?q=&fa=Subject%3Alithographs"">lithographs</a> mounted on stiff cards. Reproductive printing techniques advanced rapidly in the 1890s, however, and most cards produced after the turn of the century were created by combining <a href=""/collections/baseball-cards/?q=&fa=Subject%3Arelief+prints"">relief-printed color</a> with a black-and-white halftone image.</p>   <p>Cigarette card collector Benjamin K. Edwards preserved these baseball cards in albums with more than 12,000 other cards on many subjects, including actors and actresses, United States presidents, bathing beauties, military subjects, automobiles and airplanes, flags and flowers, and the comic pranks of young boys. Edwards appreciated the colorful cards for their popular appeal, advertising ingenuity, and historical value: ""To the true collector the difficulty of finding old American cards is most inviting, and along with the sport thereof is the interest of research work and the insight as to the living and thinking of our people a half century ago."" After his death, Edwards' daughter gave the albums to noted poet and Lincoln biographer Carl Sandburg, who donated them to the Library's Prints and Photographs Division in June, 1954.</p>","2018-06-19T06:25:30.827Z","","","2018-06-19T06:20:34.341Z","1887","","LOT 13163","","","2092","1887-01-01T00:00:00Z","english","https://www.loc.gov/collections/baseball-cards/about-this-collection/","https://www.loc.gov/collections/baseball-cards/","False","https://www.loc.gov/collections/static/baseball-cards/155_155.jpg#h=155&w=155","https://www.loc.gov/collections/static/baseball-cards/500_500.jpg#h=500&w=500","","","","http://www.loc.gov/collections/baseball-cards/about-this-collection/","http://www.loc.gov/collections/bbc/","http://lccn.loc.gov/2001696352","http://www.loc.gov/item/2001696352/","http://hdl.loc.gov/loc.pnp/pp.bbc","http://www.loc.gov/resource/pp.bbc/","http://memory.loc.gov/ammem/bbhtml/bbhome.html","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1888-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1889-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1890-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1891-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1892-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1893-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1894-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1895-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1896-01-01T00:00:00Z","","","","","","","","","","","","","","","","","","","","","","",""
