"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","index","group__001","group__002","group__003","title","online_format__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012"
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676531/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mcquillan, george (team member)","philadelphia phillies","philadelphia","national league","pitcher","baseball cards","relief prints","color","","","751","bbc","catalog","baseball-cards","[George McQuillan, Philadelphia Phillies, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 164 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676531/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0833f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0833f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0830/0833ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0830/0833fr.jpg#h=640&w=359","//cdn.loc.gov/service/pnp/bbc/0800/0830/0833fv.jpg#h=1024&w=574","http://www.loc.gov/pictures/collection/bbc/item/2008676531/","http://hdl.loc.gov/loc.pnp/bbc.0833b","http://www.loc.gov/item/2008676531/","http://www.loc.gov/pictures/item/2008676531/","http://hdl.loc.gov/loc.pnp/bbc.0833f","http://www.loc.gov/resource/bbc.0833f/","http://www.loc.gov/resource/bbc.0833b/","http://lccn.loc.gov/2008676531","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676532/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mcquillan, george (team member)","philadelphia phillies","philadelphia","national league","pitcher","baseball cards","relief prints","color","","","752","bbc","catalog","baseball-cards","[George McQuillan, Philadelphia Phillies, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 165 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676532/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0834f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0834f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0800/0830/0834ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0800/0830/0834fr.jpg#h=640&w=352","//cdn.loc.gov/service/pnp/bbc/0800/0830/0834fv.jpg#h=1024&w=563","http://www.loc.gov/pictures/collection/bbc/item/2008676532/","http://hdl.loc.gov/loc.pnp/bbc.0834b","http://www.loc.gov/item/2008676532/","http://www.loc.gov/pictures/item/2008676532/","http://hdl.loc.gov/loc.pnp/bbc.0834f","http://www.loc.gov/resource/bbc.0834f/","http://www.loc.gov/resource/bbc.0834b/","http://lccn.loc.gov/2008676532","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676533/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","titus, john (team member)","philadelphia phillies","philadelphia","national league","right fielder","baseball cards","relief prints","color","","","753","bbc","catalog","baseball-cards","[John Titus, Philadelphia Phillies, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 166 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676533/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0835f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0835f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0835ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0835fr.jpg#h=640&w=362","//cdn.loc.gov/service/pnp/bbc/0800/0830/0835fv.jpg#h=1024&w=579","http://www.loc.gov/pictures/collection/bbc/item/2008676533/","http://hdl.loc.gov/loc.pnp/bbc.0835b","http://www.loc.gov/item/2008676533/","http://www.loc.gov/pictures/item/2008676533/","http://hdl.loc.gov/loc.pnp/bbc.0835f","http://www.loc.gov/resource/bbc.0835f/","http://www.loc.gov/resource/bbc.0835b/","http://lccn.loc.gov/2008676533","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676534/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","abbaticchio, ed (team member)","pittsburgh pirates","pittsburgh","national league","shortstop","baseball cards","relief prints","color","","","754","bbc","catalog","baseball-cards","[Ed Abbaticchio, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 167 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676534/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0836f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0836f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0800/0830/0836ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/0800/0830/0836fr.jpg#h=640&w=351","//cdn.loc.gov/service/pnp/bbc/0800/0830/0836fv.jpg#h=1024&w=562","http://www.loc.gov/pictures/collection/bbc/item/2008676534/","http://hdl.loc.gov/loc.pnp/bbc.0836b","http://www.loc.gov/item/2008676534/","http://www.loc.gov/pictures/item/2008676534/","http://hdl.loc.gov/loc.pnp/bbc.0836f","http://www.loc.gov/resource/bbc.0836f/","http://www.loc.gov/resource/bbc.0836b/","http://lccn.loc.gov/2008676534","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676535/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","abbaticchio, ed (team member)","pittsburgh pirates","pittsburgh","national league","shortstop","baseball cards","relief prints","color","","","755","bbc","catalog","baseball-cards","[Ed Abbaticchio, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 168 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676535/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0837f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0837f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0837ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0837fr.jpg#h=640&w=364","//cdn.loc.gov/service/pnp/bbc/0800/0830/0837fv.jpg#h=1024&w=582","http://www.loc.gov/pictures/collection/bbc/item/2008676535/","http://hdl.loc.gov/loc.pnp/bbc.0837b","http://www.loc.gov/item/2008676535/","http://www.loc.gov/pictures/item/2008676535/","http://hdl.loc.gov/loc.pnp/bbc.0837f","http://www.loc.gov/resource/bbc.0837f/","http://www.loc.gov/resource/bbc.0837b/","http://lccn.loc.gov/2008676535","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676536/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","abstein, bill (team member)","pittsburgh pirates","pittsburgh","national league","first baseman","baseball cards","relief prints","color","","","756","bbc","catalog","baseball-cards","[Bill Abstein, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 169 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676536/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0838f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0838f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0838ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/0800/0830/0838fr.jpg#h=640&w=361","//cdn.loc.gov/service/pnp/bbc/0800/0830/0838fv.jpg#h=1024&w=578","http://www.loc.gov/pictures/collection/bbc/item/2008676536/","http://hdl.loc.gov/loc.pnp/bbc.0838b","http://www.loc.gov/item/2008676536/","http://www.loc.gov/pictures/item/2008676536/","http://hdl.loc.gov/loc.pnp/bbc.0838f","http://www.loc.gov/resource/bbc.0838f/","http://www.loc.gov/resource/bbc.0838b/","http://lccn.loc.gov/2008676536","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008675242/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bell, george (team member)","brooklyn superbas","brooklyn","national league","pitcher","baseball cards","relief prints","color","","","757","bbc","catalog","baseball-cards","[George Bell, Brooklyn Superbas, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:14.561Z","pictures","catalog","2016-05-17T21:36:26.855Z","1909","LOT 13163-18, no. 17 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008675242/","False","//cdn.loc.gov/service/pnp/bbc/0600/0680/0686f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0600/0680/0686f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0600/0680/0686ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0600/0680/0686fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/0600/0680/0686fv.jpg#h=1024&w=568","http://www.loc.gov/pictures/collection/bbc/item/2008675242/","http://hdl.loc.gov/loc.pnp/bbc.0686b","http://www.loc.gov/item/2008675242/","http://www.loc.gov/pictures/item/2008675242/","http://hdl.loc.gov/loc.pnp/bbc.0686f","http://www.loc.gov/resource/bbc.0686f/","http://www.loc.gov/resource/bbc.0686b/","http://lccn.loc.gov/2008675242","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676537/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","camnitz, howie (team member)","pittsburgh pirates","pittsburgh","national league","pitcher","baseball cards","relief prints","color","","","758","bbc","catalog","baseball-cards","[Howie Camnitz, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 170 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676537/","False","//cdn.loc.gov/service/pnp/bbc/0800/0830/0839f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0830/0839f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0800/0830/0839ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/0800/0830/0839fr.jpg#h=640&w=354","//cdn.loc.gov/service/pnp/bbc/0800/0830/0839fv.jpg#h=1024&w=566","http://www.loc.gov/pictures/collection/bbc/item/2008676537/","http://hdl.loc.gov/loc.pnp/bbc.0839b","http://www.loc.gov/item/2008676537/","http://www.loc.gov/pictures/item/2008676537/","http://hdl.loc.gov/loc.pnp/bbc.0839f","http://www.loc.gov/resource/bbc.0839f/","http://www.loc.gov/resource/bbc.0839b/","http://lccn.loc.gov/2008676537","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676538/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","camnitz, howie (team member)","pittsburgh pirates","pittsburgh","national league","pitcher","baseball cards","relief prints","color","","","759","bbc","catalog","baseball-cards","[Howie Camnitz, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 171 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676538/","False","//cdn.loc.gov/service/pnp/bbc/0800/0840/0840f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0840/0840f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0840/0840ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0840/0840fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/0800/0840/0840fv.jpg#h=1024&w=573","http://www.loc.gov/pictures/collection/bbc/item/2008676538/","http://hdl.loc.gov/loc.pnp/bbc.0840b","http://www.loc.gov/item/2008676538/","http://www.loc.gov/pictures/item/2008676538/","http://hdl.loc.gov/loc.pnp/bbc.0840f","http://www.loc.gov/resource/bbc.0840f/","http://www.loc.gov/resource/bbc.0840b/","http://lccn.loc.gov/2008676538","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676539/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","camnitz, howie (team member)","pittsburgh pirates","pittsburgh","national league","pitcher","baseball cards","relief prints","color","","","760","bbc","catalog","baseball-cards","[Howie Camnitz, Pittsburgh Pirates, baseball card portrait]","image","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:28.462Z","pictures","catalog","2016-05-17T21:36:27.371Z","1909","LOT 13163-18, no. 172 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676539/","False","//cdn.loc.gov/service/pnp/bbc/0800/0840/0841f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/0800/0840/0841f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0840/0841ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/0800/0840/0841fr.jpg#h=640&w=359","//cdn.loc.gov/service/pnp/bbc/0800/0840/0841fv.jpg#h=1024&w=574","http://www.loc.gov/pictures/collection/bbc/item/2008676539/","http://hdl.loc.gov/loc.pnp/bbc.0841b","http://www.loc.gov/item/2008676539/","http://www.loc.gov/pictures/item/2008676539/","http://hdl.loc.gov/loc.pnp/bbc.0841f","http://www.loc.gov/resource/bbc.0841f/","http://www.loc.gov/resource/bbc.0841b/","http://lccn.loc.gov/2008676539","","","",""
