"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","index","group__001","group__002","group__003","group__004","title","online_format__-","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016","aka__017"
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676867/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","carlton molesworth (team member)","birmingham","southern league","baseball cards","relief prints","color","","","","","","","1001","bbc","catalog","baseball-cards","","[Carlton Molesworth, Birmingham Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 390 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676867/","False","//cdn.loc.gov/service/pnp/bbc/1000/1050/1059f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1050/1059f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1000/1050/1059ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1000/1050/1059fr.jpg#h=640&w=366","//cdn.loc.gov/service/pnp/bbc/1000/1050/1059fv.jpg#h=1024&w=586","http://www.loc.gov/pictures/collection/bbc/item/2008676867/","http://hdl.loc.gov/loc.pnp/bbc.1059b","http://www.loc.gov/item/2008676867/","http://www.loc.gov/pictures/item/2008676867/","http://hdl.loc.gov/loc.pnp/bbc.1059f","http://www.loc.gov/resource/bbc.1059f/","http://www.loc.gov/resource/bbc.1059b/","http://lccn.loc.gov/2008676867","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676868/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","foster, ed (team member)","charleston","south atlantic league","baseball cards","relief prints","color","","","","","","","1002","bbc","catalog","baseball-cards","","[Ed Foster, Charleston Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 391 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676868/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1060f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1060f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1000/1060/1060ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1000/1060/1060fr.jpg#h=640&w=361","//cdn.loc.gov/service/pnp/bbc/1000/1060/1060fv.jpg#h=1024&w=578","http://www.loc.gov/pictures/collection/bbc/item/2008676868/","http://hdl.loc.gov/loc.pnp/bbc.1060b","http://www.loc.gov/item/2008676868/","http://www.loc.gov/pictures/item/2008676868/","http://hdl.loc.gov/loc.pnp/bbc.1060f","http://www.loc.gov/resource/bbc.1060f/","http://www.loc.gov/resource/bbc.1060b/","http://lccn.loc.gov/2008676868","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676869/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","paige, george (team member)","charleston","south atlantic league","baseball cards","relief prints","color","","","","","","","1003","bbc","catalog","baseball-cards","","[George Paige, Charleston Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 392 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676869/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1061f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1061f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1061ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1061fr.jpg#h=640&w=359","//cdn.loc.gov/service/pnp/bbc/1000/1060/1061fv.jpg#h=1024&w=575","http://www.loc.gov/pictures/collection/bbc/item/2008676869/","http://hdl.loc.gov/loc.pnp/bbc.1061b","http://www.loc.gov/item/2008676869/","http://www.loc.gov/pictures/item/2008676869/","http://hdl.loc.gov/loc.pnp/bbc.1061f","http://www.loc.gov/resource/bbc.1061f/","http://www.loc.gov/resource/bbc.1061b/","http://lccn.loc.gov/2008676869","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676870/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","kiernan, j. f. (team member)","columbia","south atlantic league","baseball cards","relief prints","color","","","","","","","1004","bbc","catalog","baseball-cards","","[J. F. Kiernan, Columbia Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 393 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676870/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1062f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1062f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1062ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1062fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/1000/1060/1062fv.jpg#h=1024&w=573","http://www.loc.gov/pictures/collection/bbc/item/2008676870/","http://hdl.loc.gov/loc.pnp/bbc.1062b","http://www.loc.gov/item/2008676870/","http://www.loc.gov/pictures/item/2008676870/","http://hdl.loc.gov/loc.pnp/bbc.1062f","http://www.loc.gov/resource/bbc.1062f/","http://www.loc.gov/resource/bbc.1062b/","http://lccn.loc.gov/2008676870","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676871/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","manion, george (team member)","columbia","south atlantic league","baseball cards","relief prints","color","","","","","","","1005","bbc","catalog","baseball-cards","","[George Manion, Columbia Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 394 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676871/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1063f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1063f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1000/1060/1063ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1000/1060/1063fr.jpg#h=640&w=356","//cdn.loc.gov/service/pnp/bbc/1000/1060/1063fv.jpg#h=1024&w=570","http://www.loc.gov/pictures/collection/bbc/item/2008676871/","http://hdl.loc.gov/loc.pnp/bbc.1063b","http://www.loc.gov/item/2008676871/","http://www.loc.gov/pictures/item/2008676871/","http://hdl.loc.gov/loc.pnp/bbc.1063f","http://www.loc.gov/resource/bbc.1063f/","http://www.loc.gov/resource/bbc.1063b/","http://lccn.loc.gov/2008676871","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676872/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","miller, molly (team member)","dallas","southern league","baseball cards","relief prints","color","","","","","","","1006","bbc","catalog","baseball-cards","","[Molly Miller, Dallas Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 395 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676872/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1064f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1064f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1064ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1064fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/1000/1060/1064fv.jpg#h=1024&w=572","http://www.loc.gov/pictures/collection/bbc/item/2008676872/","http://hdl.loc.gov/loc.pnp/bbc.1064b","http://www.loc.gov/item/2008676872/","http://www.loc.gov/pictures/item/2008676872/","http://hdl.loc.gov/loc.pnp/bbc.1064f","http://www.loc.gov/resource/bbc.1064f/","http://www.loc.gov/resource/bbc.1064b/","http://lccn.loc.gov/2008676872","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676873/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","king, frank (team member)","danville","virginia league","baseball cards","relief prints","color","","","","","","","1007","bbc","catalog","baseball-cards","","[Frank King, Danville Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 396 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676873/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1065f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1065f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1000/1060/1065ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1000/1060/1065fr.jpg#h=640&w=366","//cdn.loc.gov/service/pnp/bbc/1000/1060/1065fv.jpg#h=1024&w=585","http://www.loc.gov/pictures/collection/bbc/item/2008676873/","http://hdl.loc.gov/loc.pnp/bbc.1065b","http://www.loc.gov/item/2008676873/","http://www.loc.gov/pictures/item/2008676873/","http://hdl.loc.gov/loc.pnp/bbc.1065f","http://www.loc.gov/resource/bbc.1065f/","http://www.loc.gov/resource/bbc.1065b/","http://lccn.loc.gov/2008676873","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676874/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","westlake, james (team member)","danville","virginia league","baseball cards","relief prints","color","","","","","","","1008","bbc","catalog","baseball-cards","","[James Westlake, Danville Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 397 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676874/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1066f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1066f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1000/1060/1066ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1000/1060/1066fr.jpg#h=640&w=349","//cdn.loc.gov/service/pnp/bbc/1000/1060/1066fv.jpg#h=1024&w=558","http://www.loc.gov/pictures/collection/bbc/item/2008676874/","http://hdl.loc.gov/loc.pnp/bbc.1066b","http://www.loc.gov/item/2008676874/","http://www.loc.gov/pictures/item/2008676874/","http://hdl.loc.gov/loc.pnp/bbc.1066f","http://www.loc.gov/resource/bbc.1066f/","http://www.loc.gov/resource/bbc.1066b/","http://lccn.loc.gov/2008676874","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676875/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","white, foley (team member)","houston","southern league","baseball cards","relief prints","color","","","","","","","1009","bbc","catalog","baseball-cards","","[Foley White, Houston Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 398 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676875/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1067f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1067f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1067ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1067fr.jpg#h=640&w=357","//cdn.loc.gov/service/pnp/bbc/1000/1060/1067fv.jpg#h=1024&w=571","http://www.loc.gov/pictures/collection/bbc/item/2008676875/","http://hdl.loc.gov/loc.pnp/bbc.1067b","http://www.loc.gov/item/2008676875/","http://www.loc.gov/pictures/item/2008676875/","http://hdl.loc.gov/loc.pnp/bbc.1067f","http://www.loc.gov/resource/bbc.1067f/","http://www.loc.gov/resource/bbc.1067b/","http://lccn.loc.gov/2008676875","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008676876/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mullaney, dom (team member)","jacksonville","south atlantic league","baseball cards","relief prints","color","","","","","","","1010","bbc","catalog","baseball-cards","","[Dom Mullaney, Jacksonville Team, baseball card portrait]","image","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:40:58.373Z","pictures","catalog","2016-05-17T21:36:28.391Z","1909","","LOT 13163-18, no. 399 [P&P]","White Borders (T206)","1909-01-01T00:00:00Z","english","https://www.loc.gov/item/2008676876/","False","//cdn.loc.gov/service/pnp/bbc/1000/1060/1068f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1000/1060/1068f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1068ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1000/1060/1068fr.jpg#h=640&w=357","//cdn.loc.gov/service/pnp/bbc/1000/1060/1068fv.jpg#h=1024&w=572","http://www.loc.gov/pictures/collection/bbc/item/2008676876/","http://hdl.loc.gov/loc.pnp/bbc.1068b","http://www.loc.gov/item/2008676876/","http://www.loc.gov/pictures/item/2008676876/","http://hdl.loc.gov/loc.pnp/bbc.1068f","http://www.loc.gov/resource/bbc.1068f/","http://www.loc.gov/resource/bbc.1068b/","http://lccn.loc.gov/2008676876","","","","","","","","",""
