"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","subject__013","subject__014","subject__015","index","group__001","group__002","group__003","group__004","title","online_format__-","location__-","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016","aka__017"
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677496/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","merkle, fred (team member)","new york giants","new york","national league","first baseman","baseball cards","photomechanical prints","","","","","","","","","1501","bbc","catalog","baseball-cards","","[Fred Merkle, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:57.116Z","pictures","catalog","2016-05-17T21:36:30.635Z","1911","","LOT 13163-25, no. 67 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677496/","False","//cdn.loc.gov/service/pnp/bbc/1400/1400/1409f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1400/1409f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1400/1409ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1400/1409fr.jpg#h=640&w=365","//cdn.loc.gov/service/pnp/bbc/1400/1400/1409fv.jpg#h=1024&w=584","http://www.loc.gov/pictures/collection/bbc/item/2008677496/","http://hdl.loc.gov/loc.pnp/bbc.1409b","http://www.loc.gov/item/2008677496/","http://www.loc.gov/pictures/item/2008677496/","http://hdl.loc.gov/loc.pnp/bbc.1409f","http://www.loc.gov/resource/bbc.1409f/","http://www.loc.gov/resource/bbc.1409b/","http://lccn.loc.gov/2008677496","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677497/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","meyers, chief (team member)","new york giants","new york","national league","catcher","baseball cards","photomechanical prints","","","","","","","","","1502","bbc","catalog","baseball-cards","","[John T. Meyers, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:57.116Z","pictures","catalog","2016-05-17T21:36:30.635Z","1911","","LOT 13163-25, no. 68 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677497/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1410f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1410f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1410ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1410fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/1400/1410/1410fv.jpg#h=1024&w=573","http://www.loc.gov/pictures/collection/bbc/item/2008677497/","http://hdl.loc.gov/loc.pnp/bbc.1410b","http://www.loc.gov/item/2008677497/","http://www.loc.gov/pictures/item/2008677497/","http://hdl.loc.gov/loc.pnp/bbc.1410f","http://www.loc.gov/resource/bbc.1410f/","http://www.loc.gov/resource/bbc.1410b/","http://lccn.loc.gov/2008677497","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677498/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","murray, red (team member)","new york giants","new york","national league","right fielder","baseball cards","photomechanical prints","","","","","","","","","1503","bbc","catalog","baseball-cards","","[John J. Murray, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:57.116Z","pictures","catalog","2016-05-17T21:36:30.635Z","1911","","LOT 13163-25, no. 69 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677498/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1411f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1411f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1411ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1411fr.jpg#h=640&w=360","//cdn.loc.gov/service/pnp/bbc/1400/1410/1411fv.jpg#h=1024&w=576","http://www.loc.gov/pictures/collection/bbc/item/2008677498/","http://hdl.loc.gov/loc.pnp/bbc.1411b","http://www.loc.gov/item/2008677498/","http://www.loc.gov/pictures/item/2008677498/","http://hdl.loc.gov/loc.pnp/bbc.1411f","http://www.loc.gov/resource/bbc.1411f/","http://www.loc.gov/resource/bbc.1411b/","http://lccn.loc.gov/2008677498","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677454/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","mattern, al (team member)","boston rustlers","boston","national league","pitcher","baseball cards","photomechanical prints","","","","","","","","","1504","bbc","catalog","baseball-cards","","[A. A. Mattern, Boston Rustlers, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:43.594Z","pictures","catalog","2016-05-17T21:36:30.134Z","1911","","LOT 13163-25, no. 7 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677454/","False","//cdn.loc.gov/service/pnp/bbc/1300/1340/1349f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1300/1340/1349f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1300/1340/1349ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1300/1340/1349fr.jpg#h=640&w=367","//cdn.loc.gov/service/pnp/bbc/1300/1340/1349fv.jpg#h=1024&w=587","http://www.loc.gov/pictures/collection/bbc/item/2008677454/","http://hdl.loc.gov/loc.pnp/bbc.1349b","http://www.loc.gov/item/2008677454/","http://www.loc.gov/pictures/item/2008677454/","http://hdl.loc.gov/loc.pnp/bbc.1349f","http://www.loc.gov/resource/bbc.1349f/","http://www.loc.gov/resource/bbc.1349b/","http://lccn.loc.gov/2008677454","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677499/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","raymond, bugs (team member)","new york giants","new york","national league","pitcher","baseball cards","photomechanical prints","","","","","","","","","1505","bbc","catalog","baseball-cards","","[Arthur L. Raymond, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:57.116Z","pictures","catalog","2016-05-17T21:36:30.635Z","1911","","LOT 13163-25, no. 70 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677499/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1412f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1412ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1400/1410/1412f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1412fr.jpg#h=640&w=357","//cdn.loc.gov/service/pnp/bbc/1400/1410/1412fv.jpg#h=1024&w=571","http://www.loc.gov/pictures/collection/bbc/item/2008677499/","http://hdl.loc.gov/loc.pnp/bbc.1412b","http://www.loc.gov/item/2008677499/","http://www.loc.gov/pictures/item/2008677499/","http://hdl.loc.gov/loc.pnp/bbc.1412f","http://www.loc.gov/resource/bbc.1412f/","http://www.loc.gov/resource/bbc.1412b/","http://lccn.loc.gov/2008677499","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677385/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","schlei, admiral (team member)","new york giants","new york","national league","catcher","baseball cards","photomechanical prints","","","","","","","","","1506","bbc","catalog","baseball-cards","","[George H. Schlei, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:43.594Z","pictures","catalog","2016-05-17T21:36:30.134Z","1911","","LOT 13163-25, no. 71 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677385/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1413f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1413f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1400/1410/1413ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1400/1410/1413fr.jpg#h=640&w=362","//cdn.loc.gov/service/pnp/bbc/1400/1410/1413fv.jpg#h=1024&w=580","http://www.loc.gov/pictures/collection/bbc/item/2008677385/","http://hdl.loc.gov/loc.pnp/bbc.1413b","http://www.loc.gov/item/2008677385/","http://www.loc.gov/pictures/item/2008677385/","http://hdl.loc.gov/loc.pnp/bbc.1413f","http://www.loc.gov/resource/bbc.1413f/","http://www.loc.gov/resource/bbc.1413b/","http://lccn.loc.gov/2008677385","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677362/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","snodgrass, fred (team member)","new york giants","new york","national league","center fielder","baseball cards","photomechanical prints","","","","","","","","","1507","bbc","catalog","baseball-cards","","[Frederick C. Snodgrass, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:29.416Z","pictures","catalog","2016-05-17T21:36:29.617Z","1911","","LOT 13163-25, no. 72 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677362/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1414f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1414f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1414ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1400/1410/1414fr.jpg#h=640&w=360","//cdn.loc.gov/service/pnp/bbc/1400/1410/1414fv.jpg#h=1024&w=575","http://www.loc.gov/pictures/collection/bbc/item/2008677362/","http://hdl.loc.gov/loc.pnp/bbc.1414b","http://www.loc.gov/item/2008677362/","http://www.loc.gov/pictures/item/2008677362/","http://hdl.loc.gov/loc.pnp/bbc.1414f","http://hdl.loc.gov/loc.pnp/cph.3c32875","http://www.loc.gov/resource/bbc.1414f/","http://www.loc.gov/resource/bbc.1414b/","http://www.loc.gov/resource/cph.3c32875/","http://lccn.loc.gov/2008677362","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677386/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wiltse, hooks (team member)","new york giants","new york","national league","pitcher","baseball cards","photomechanical prints","","","","","","","","","1508","bbc","catalog","baseball-cards","","[George Wiltse, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:43.594Z","pictures","catalog","2016-05-17T21:36:30.134Z","1911","","LOT 13163-25, no. 73 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677386/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1415f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1415f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1410/1415ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1410/1415fr.jpg#h=640&w=366","//cdn.loc.gov/service/pnp/bbc/1400/1410/1415fv.jpg#h=1024&w=585","http://www.loc.gov/pictures/collection/bbc/item/2008677386/","http://hdl.loc.gov/loc.pnp/bbc.1415b","http://www.loc.gov/item/2008677386/","http://www.loc.gov/pictures/item/2008677386/","http://hdl.loc.gov/loc.pnp/bbc.1415f","http://www.loc.gov/resource/bbc.1415f/","http://www.loc.gov/resource/bbc.1415b/","http://lccn.loc.gov/2008677386","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677387/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wiltse, hooks (team member)","new york giants","new york","national league","pitcher","baseball cards","photomechanical prints","","","","","","","","","1509","bbc","catalog","baseball-cards","","[George Wiltse, New York Giants, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:43.594Z","pictures","catalog","2016-05-17T21:36:30.134Z","1911","","LOT 13163-25, no. 74 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677387/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1416f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1416f_150px.jpg#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1400/1410/1416ft.gif#h=150&w=85","//cdn.loc.gov/service/pnp/bbc/1400/1410/1416fr.jpg#h=640&w=362","//cdn.loc.gov/service/pnp/bbc/1400/1410/1416fv.jpg#h=1024&w=580","http://www.loc.gov/pictures/collection/bbc/item/2008677387/","http://hdl.loc.gov/loc.pnp/bbc.1416b","http://www.loc.gov/item/2008677387/","http://www.loc.gov/pictures/item/2008677387/","http://hdl.loc.gov/loc.pnp/bbc.1416f","http://www.loc.gov/resource/bbc.1416f/","http://www.loc.gov/resource/bbc.1416b/","http://lccn.loc.gov/2008677387","","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677388/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bates, johnny (team member)","philadelphia phillies","philadelphia","national league","center fielder","baseball cards","photomechanical prints","","","","","","","","","1510","bbc","catalog","baseball-cards","","[John W. Bates, Philadelphia Phillies, baseball card portrait]","image","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 photomechanical print.","2016-05-17T21:41:43.594Z","pictures","catalog","2016-05-17T21:36:30.134Z","1911","","LOT 13163-25, no. 75 [P&P]","Gold Borders (T205)","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677388/","False","//cdn.loc.gov/service/pnp/bbc/1400/1410/1417f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1400/1410/1417f_150px.jpg#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1410/1417ft.gif#h=150&w=86","//cdn.loc.gov/service/pnp/bbc/1400/1410/1417fr.jpg#h=640&w=365","//cdn.loc.gov/service/pnp/bbc/1400/1410/1417fv.jpg#h=1024&w=584","http://www.loc.gov/pictures/collection/bbc/item/2008677388/","http://hdl.loc.gov/loc.pnp/bbc.1417b","http://www.loc.gov/item/2008677388/","http://www.loc.gov/pictures/item/2008677388/","http://hdl.loc.gov/loc.pnp/bbc.1417f","http://www.loc.gov/resource/bbc.1417f/","http://www.loc.gov/resource/bbc.1417b/","http://lccn.loc.gov/2008677388","","","","","","","","",""
