"access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","index","group__001","group__002","group__003","group__004","title","online_format__-","location__001","location__002","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016"
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678020/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","speaker, tris (team member)","boston red sox","boston","american league","center fielder","baseball cards","relief prints","color","","","","","1751","bbc","catalog","baseball-cards","","[Tristam Speaker, Boston Red Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 113 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678020/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1853f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1853f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1853ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1853fr.jpg#h=640&w=351","//cdn.loc.gov/service/pnp/bbc/1800/1850/1853fv.jpg#h=1024&w=562","http://www.loc.gov/pictures/collection/bbc/item/2008678020/","http://hdl.loc.gov/loc.pnp/bbc.1853b","http://www.loc.gov/item/2008678020/","http://www.loc.gov/pictures/item/2008678020/","http://hdl.loc.gov/loc.pnp/bbc.1853f","http://www.loc.gov/resource/bbc.1853f/","http://www.loc.gov/resource/bbc.1853b/","http://lccn.loc.gov/2008678020","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678021/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","thomas, pinch (team member)","boston red sox","boston","american league","catcher","baseball cards","relief prints","color","","","","","1752","bbc","catalog","baseball-cards","","[C. D. Thomas, Boston Red Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 114 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678021/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1854f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1854f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1854ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1854fr.jpg#h=640&w=350","//cdn.loc.gov/service/pnp/bbc/1800/1850/1854fv.jpg#h=1024&w=560","http://www.loc.gov/pictures/collection/bbc/item/2008678021/","http://hdl.loc.gov/loc.pnp/bbc.1854b","http://www.loc.gov/item/2008678021/","http://www.loc.gov/pictures/item/2008678021/","http://hdl.loc.gov/loc.pnp/bbc.1854f","http://www.loc.gov/resource/bbc.1854f/","http://www.loc.gov/resource/bbc.1854b/","http://lccn.loc.gov/2008678021","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678022/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wagner, heinie (team member)","boston red sox","boston","american league","shortstop","baseball cards","relief prints","color","","","","","1753","bbc","catalog","baseball-cards","","[Chas. (Heinie) Wagner, Boston Red Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 115 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678022/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1855f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1855f_150px.jpg#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1800/1850/1855ft.gif#h=150&w=84","//cdn.loc.gov/service/pnp/bbc/1800/1850/1855fr.jpg#h=640&w=358","//cdn.loc.gov/service/pnp/bbc/1800/1850/1855fv.jpg#h=1024&w=573","http://www.loc.gov/pictures/collection/bbc/item/2008678022/","http://hdl.loc.gov/loc.pnp/bbc.1855b","http://www.loc.gov/item/2008678022/","http://www.loc.gov/pictures/item/2008678022/","http://hdl.loc.gov/loc.pnp/bbc.1855f","http://www.loc.gov/resource/bbc.1855f/","http://www.loc.gov/resource/bbc.1855b/","http://lccn.loc.gov/2008678022","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678023/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","wood, smoky joe (team member)","boston red sox","boston","american league","pitcher","baseball cards","relief prints","color","","","","","1754","bbc","catalog","baseball-cards","","[Joe Wood, Boston Red Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 116 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678023/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1856f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1856f_150px.jpg#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/1800/1850/1856ft.gif#h=150&w=81","//cdn.loc.gov/service/pnp/bbc/1800/1850/1856fr.jpg#h=640&w=347","//cdn.loc.gov/service/pnp/bbc/1800/1850/1856fv.jpg#h=1024&w=555","http://www.loc.gov/pictures/collection/bbc/item/2008678023/","http://hdl.loc.gov/loc.pnp/bbc.1856b","http://www.loc.gov/item/2008678023/","http://www.loc.gov/pictures/item/2008678023/","http://hdl.loc.gov/loc.pnp/bbc.1856f","http://www.loc.gov/resource/bbc.1856f/","http://www.loc.gov/resource/bbc.1856b/","http://lccn.loc.gov/2008678023","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678024/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","yerkes, steve (team member)","boston red sox","boston","american league","second baseman","baseball cards","relief prints","color","","","","","1755","bbc","catalog","baseball-cards","","[Stanley Yerkes, Boston Red Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 117 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678024/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1857f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1857f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1857ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1850/1857fr.jpg#h=640&w=351","//cdn.loc.gov/service/pnp/bbc/1800/1850/1857fv.jpg#h=1024&w=562","http://www.loc.gov/pictures/collection/bbc/item/2008678024/","http://hdl.loc.gov/loc.pnp/bbc.1857b","http://www.loc.gov/item/2008678024/","http://www.loc.gov/pictures/item/2008678024/","http://hdl.loc.gov/loc.pnp/bbc.1857f","http://www.loc.gov/resource/bbc.1857f/","http://www.loc.gov/resource/bbc.1857b/","http://lccn.loc.gov/2008678024","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678025/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","benz, joe (team member)","chicago white sox","chicago","american league","pitcher","baseball cards","relief prints","color","","","","","1756","bbc","catalog","baseball-cards","","[Joseph Benz, Chicago White Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 118 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678025/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1858f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1858f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1800/1850/1858ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1800/1850/1858fr.jpg#h=640&w=355","//cdn.loc.gov/service/pnp/bbc/1800/1850/1858fv.jpg#h=1024&w=568","http://www.loc.gov/pictures/collection/bbc/item/2008678025/","http://hdl.loc.gov/loc.pnp/bbc.1858b","http://www.loc.gov/item/2008678025/","http://www.loc.gov/pictures/item/2008678025/","http://hdl.loc.gov/loc.pnp/bbc.1858f","http://www.loc.gov/resource/bbc.1858f/","http://www.loc.gov/resource/bbc.1858b/","http://lccn.loc.gov/2008678025","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678026/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","blackburne, lena (team member)","chicago white sox","chicago","american league","shortstop","baseball cards","relief prints","color","","","","","1757","bbc","catalog","baseball-cards","","[Russell Blackburne, Chicago White Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 119 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678026/","False","//cdn.loc.gov/service/pnp/bbc/1800/1850/1859f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1850/1859f_150px.jpg#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1800/1850/1859ft.gif#h=150&w=83","//cdn.loc.gov/service/pnp/bbc/1800/1850/1859fr.jpg#h=640&w=352","//cdn.loc.gov/service/pnp/bbc/1800/1850/1859fv.jpg#h=1024&w=564","http://www.loc.gov/pictures/collection/bbc/item/2008678026/","http://hdl.loc.gov/loc.pnp/bbc.1859b","http://www.loc.gov/item/2008678026/","http://www.loc.gov/pictures/item/2008678026/","http://hdl.loc.gov/loc.pnp/bbc.1859f","http://www.loc.gov/resource/bbc.1859f/","http://www.loc.gov/resource/bbc.1859b/","http://lccn.loc.gov/2008678026","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008677960/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","sweeney, bill (team member)","boston braves","boston","national league","second baseman","baseball cards","relief prints","color","","","","","1758","bbc","catalog","baseball-cards","","[William J. Sweeney, Boston Braves, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 12 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008677960/","False","//cdn.loc.gov/service/pnp/bbc/1700/1750/1752f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1700/1750/1752f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1700/1750/1752ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1700/1750/1752fr.jpg#h=640&w=352","//cdn.loc.gov/service/pnp/bbc/1700/1750/1752fv.jpg#h=1024&w=563","http://www.loc.gov/pictures/collection/bbc/item/2008677960/","http://hdl.loc.gov/loc.pnp/bbc.1752b","http://www.loc.gov/item/2008677960/","http://www.loc.gov/pictures/item/2008677960/","http://hdl.loc.gov/loc.pnp/bbc.1752f","http://www.loc.gov/resource/bbc.1752f/","http://www.loc.gov/resource/bbc.1752b/","http://lccn.loc.gov/2008677960","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678027/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","block, bruno (team member)","chicago white sox","chicago","american league","catcher","baseball cards","relief prints","color","","","","","1759","bbc","catalog","baseball-cards","","[Jimmy Block, Chicago White Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 120 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678027/","False","//cdn.loc.gov/service/pnp/bbc/1800/1860/1860f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1860/1860f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1860/1860ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1860/1860fr.jpg#h=640&w=351","//cdn.loc.gov/service/pnp/bbc/1800/1860/1860fv.jpg#h=1024&w=561","http://www.loc.gov/pictures/collection/bbc/item/2008678027/","http://hdl.loc.gov/loc.pnp/bbc.1860b","http://www.loc.gov/item/2008678027/","http://www.loc.gov/pictures/item/2008678027/","http://hdl.loc.gov/loc.pnp/bbc.1860f","http://www.loc.gov/resource/bbc.1860f/","http://www.loc.gov/resource/bbc.1860b/","http://lccn.loc.gov/2008678027","","","","","","","",""
"False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678028/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","bodie, ping (team member)","chicago white sox","chicago","american league","center fielder","baseball cards","relief prints","color","","","","","1760","bbc","catalog","baseball-cards","","[Ping Bodie, Chicago White Sox, baseball card portrait]","image","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:09.531Z","pictures","catalog","2016-05-17T21:36:31.153Z","1912","","LOT 13163-30, no. 121 [P&P]","Brown Backgrounds (T207)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678028/","False","//cdn.loc.gov/service/pnp/bbc/1800/1860/1861f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1800/1860/1861f_150px.jpg#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1860/1861ft.gif#h=150&w=82","//cdn.loc.gov/service/pnp/bbc/1800/1860/1861fr.jpg#h=640&w=349","//cdn.loc.gov/service/pnp/bbc/1800/1860/1861fv.jpg#h=1024&w=559","http://www.loc.gov/pictures/collection/bbc/item/2008678028/","http://hdl.loc.gov/loc.pnp/bbc.1861b","http://www.loc.gov/item/2008678028/","http://www.loc.gov/pictures/item/2008678028/","http://hdl.loc.gov/loc.pnp/bbc.1861f","http://www.loc.gov/resource/bbc.1861f/","http://www.loc.gov/resource/bbc.1861b/","http://lccn.loc.gov/2008678028","","","","","","","",""
