"location_w__001","location_w__002","access_restricted","original_format__-","contributor__-","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","index","group__001","group__002","group__003","group__004","group__005","title","online_format__001","online_format__002","location__001","location__002","number_former_id__-","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","site__001","site__002","extract_timestamp","date","number__-","shelf_id","dates","other_title__-","dates__-","language__-","url","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","partof_w__001","partof_w__002","partof_w__003","partof_w__004","partof_w__005","partof_w__006","subject_w__001","subject_w__002","subject_w__003","subject_w__004","subject_w__005","subject_w__006","subject_w__007","subject_w__008","subject_w__009","subject_w__010","image_url__005","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","aka__016","aka__017"
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678503/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","phillippe, deacon (team member)","pittsburgh pirates","pittsburgh","national league","pitcher","gibson, george (team member)","catcher","baseball cards","relief prints","color","","","2001","bbc","catalog","baseball-cards","","","[Chas. Phillippe/George Gibson, Pittsburgh Pirates, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 48 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678503/","False","//cdn.loc.gov/service/pnp/bbc/1900/1980/1988f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1980/1988f_150px.jpg#h=65&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1980/1988ft.gif#h=65&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1980/1988fr.jpg#h=279&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1980/1988fv.jpg#h=446&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678503/","http://hdl.loc.gov/loc.pnp/bbc.1988b","http://www.loc.gov/item/2008678503/","http://www.loc.gov/pictures/item/2008678503/","http://hdl.loc.gov/loc.pnp/bbc.1988f","http://www.loc.gov/resource/bbc.1988f/","http://www.loc.gov/resource/bbc.1988b/","http://lccn.loc.gov/2008678503","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678504/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","dooin, red (team member)","philadelphia phillies","philadelphia","national league","catcher","doolan, mickey (team member)","shortstop","baseball cards","relief prints","color","","","2002","bbc","catalog","baseball-cards","","","[Chas. F. Dooin/Michael Doolan, Philadelphia Phillies, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 49 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678504/","False","//cdn.loc.gov/service/pnp/bbc/1900/1980/1989f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1980/1989f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1980/1989ft.gif#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1980/1989fr.jpg#h=283&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1980/1989fv.jpg#h=452&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678504/","http://hdl.loc.gov/loc.pnp/bbc.1989b","http://www.loc.gov/item/2008678504/","http://www.loc.gov/pictures/item/2008678504/","http://hdl.loc.gov/loc.pnp/bbc.1989f","http://www.loc.gov/resource/bbc.1989f/","http://www.loc.gov/resource/bbc.1989b/","http://lccn.loc.gov/2008678504","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678410/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","rucker, nap (team member)","brooklyn superbas","brooklyn","national league","pitcher","bergen, bill (team member)","catcher","baseball cards","relief prints","color","","","2003","bbc","catalog","baseball-cards","","","[C. N. Rucker/William Bergen, Brooklyn Superbas, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:22.155Z","pictures","catalog","2016-05-17T21:36:31.667Z","1912","","LOT 13163-31, no. 5 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678410/","False","//cdn.loc.gov/service/pnp/bbc/1900/1940/1945f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1940/1945f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1940/1945ft.gif#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1940/1945fr.jpg#h=281&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1940/1945fv.jpg#h=449&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678410/","http://hdl.loc.gov/loc.pnp/bbc.1945b","http://www.loc.gov/item/2008678410/","http://www.loc.gov/pictures/item/2008678410/","http://hdl.loc.gov/loc.pnp/bbc.1945f","http://www.loc.gov/resource/bbc.1945f/","http://www.loc.gov/resource/bbc.1945b/","http://lccn.loc.gov/2008678410","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678505/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","lobert, hans (team member)","philadelphia phillies","philadelphia","national league","third baseman","dooin, red (team member)","catcher","baseball cards","relief prints","color","","","2004","bbc","catalog","baseball-cards","","","[John Lobert/Chas. F. Dooin, Philadelphia Phillies, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 50 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678505/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1990f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1990f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1990ft.gif#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1990fr.jpg#h=281&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1990fv.jpg#h=449&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678505/","http://hdl.loc.gov/loc.pnp/bbc.1990b","http://www.loc.gov/item/2008678505/","http://www.loc.gov/pictures/item/2008678505/","http://hdl.loc.gov/loc.pnp/bbc.1990f","http://www.loc.gov/resource/bbc.1990f/","http://www.loc.gov/resource/bbc.1990b/","http://lccn.loc.gov/2008678505","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678506/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","titus, john (team member)","philadelphia phillies","philadelphia","national league","right fielder","dooin, red (team member)","catcher","baseball cards","relief prints","color","","","2005","bbc","catalog","baseball-cards","","","[John Titus/Chas. F. Dooin, Philadelphia Phillies, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 51 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678506/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1991f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1991f_150px.jpg#h=67&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1991ft.gif#h=67&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1991fr.jpg#h=287&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1991fv.jpg#h=459&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678506/","http://hdl.loc.gov/loc.pnp/bbc.1991b","http://www.loc.gov/item/2008678506/","http://www.loc.gov/pictures/item/2008678506/","http://hdl.loc.gov/loc.pnp/bbc.1991f","http://www.loc.gov/resource/bbc.1991f/","http://www.loc.gov/resource/bbc.1991b/","http://lccn.loc.gov/2008678506","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678507/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","doyle, larry (team member)","new york giants","new york","national league","second baseman","merkle, fred (team member)","first baseman","baseball cards","relief prints","color","","","2006","bbc","catalog","baseball-cards","","","[Lawrence Doyle/Fred Merkle, New York Giants, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 52 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678507/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1992f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1992f_150px.jpg#h=67&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1992ft.gif#h=67&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1992fr.jpg#h=284&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1992fv.jpg#h=455&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678507/","http://hdl.loc.gov/loc.pnp/bbc.1992b","http://www.loc.gov/item/2008678507/","http://www.loc.gov/pictures/item/2008678507/","http://hdl.loc.gov/loc.pnp/bbc.1992f","http://www.loc.gov/resource/bbc.1992f/","http://www.loc.gov/resource/bbc.1992b/","http://lccn.loc.gov/2008678507","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678508/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","milan, clyde (team member)","washington nationals","washington","american league","center fielder","elberfeld, kid (team member)","second baseman","baseball cards","relief prints","color","","","2007","bbc","catalog","baseball-cards","","","[Clyde Milan/N. Elberfeld, Washington Nationals, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 53 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678508/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1993f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1993f_150px.jpg#h=65&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1993ft.gif#h=65&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1993fr.jpg#h=278&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1993fv.jpg#h=446&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678508/","http://hdl.loc.gov/loc.pnp/bbc.1993b","http://www.loc.gov/item/2008678508/","http://www.loc.gov/pictures/item/2008678508/","http://hdl.loc.gov/loc.pnp/bbc.1993f","http://www.loc.gov/resource/bbc.1993f/","http://www.loc.gov/resource/bbc.1993b/","http://lccn.loc.gov/2008678508","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678509/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","milan, clyde (team member)","washington nationals","washington","american league","center fielder","elberfeld, kid (team member)","second baseman","baseball cards","relief prints","color","","","2008","bbc","catalog","baseball-cards","","","[Clyde Milan/N. Elberfeld, Washington Nationals, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 54 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678509/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1994f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1994f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1994ft.gif#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1994fr.jpg#h=281&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1994fv.jpg#h=449&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678509/","http://hdl.loc.gov/loc.pnp/bbc.1994b","http://www.loc.gov/item/2008678509/","http://www.loc.gov/pictures/item/2008678509/","http://hdl.loc.gov/loc.pnp/bbc.1994f","http://www.loc.gov/resource/bbc.1994f/","http://www.loc.gov/resource/bbc.1994b/","http://lccn.loc.gov/2008678509","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678510/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","speaker, tris (team member)","boston red sox","boston","american league","center fielder","engle, clyde (team member)","first baseman","baseball cards","relief prints","color","","","2009","bbc","catalog","baseball-cards","","","[Tris Speaker/Clyde Engle, Boston Red Sox, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 55 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678510/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1995f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1995f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1995ft.gif#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1995fr.jpg#h=281&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1995fv.jpg#h=450&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678510/","http://hdl.loc.gov/loc.pnp/bbc.1995b","http://www.loc.gov/item/2008678510/","http://www.loc.gov/pictures/item/2008678510/","http://hdl.loc.gov/loc.pnp/bbc.1995f","http://www.loc.gov/resource/bbc.1995f/","http://www.loc.gov/resource/bbc.1995b/","http://lccn.loc.gov/2008678510","","","","","","","","",""
"","","False","photo, print, drawing","american tobacco company","http://www.loc.gov/item/2008678511/","prints and photographs division","baseball cards","american memory","lot 13163","baseball cards, 1887-1914","catalog","archer, jimmy (team member)","chicago cubs","chicago","national league","catcher","evers, johnny (team member)","second baseman","baseball cards","relief prints","color","","","2010","bbc","catalog","baseball-cards","","","[James P. Archer/John J. Evers, Chicago Cubs, baseball card portrait]","image","","","","","image/gif","image/jpg","image/tif","image/jpeg","True","1 print : relief with halftone, color.","2016-05-17T21:42:34.738Z","pictures","catalog","2016-05-17T21:36:32.219Z","1912","","LOT 13163-31, no. 56 [P&P]","","Hassan Triple Folders (T202)","1912-01-01T00:00:00Z","english","https://www.loc.gov/item/2008678511/","False","//cdn.loc.gov/service/pnp/bbc/1900/1990/1996f_150px.jpg","//cdn.loc.gov/service/pnp/bbc/1900/1990/1996f_150px.jpg#h=66&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1996ft.gif#h=67&w=150","//cdn.loc.gov/service/pnp/bbc/1900/1990/1996fr.jpg#h=283&w=640","","","","","","","","","","","","","","","","","//cdn.loc.gov/service/pnp/bbc/1900/1990/1996fv.jpg#h=454&w=1024","http://www.loc.gov/pictures/collection/bbc/item/2008678511/","http://hdl.loc.gov/loc.pnp/bbc.1996b","http://www.loc.gov/item/2008678511/","http://www.loc.gov/pictures/item/2008678511/","http://hdl.loc.gov/loc.pnp/bbc.1996f","http://www.loc.gov/resource/bbc.1996f/","http://www.loc.gov/resource/bbc.1996b/","http://lccn.loc.gov/2008678511","","","","","","","","",""
