"digitized","partof__001","partof__002","partof__003","subject","description__-","timestamp","access_restricted","site__-","original_format__001","original_format__002","original_format__003","original_format__004","original_format__005","original_format__006","contributor__001","contributor__002","contributor__003","contributor__004","contributor__005","contributor__006","extract_timestamp","date","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","id","index","group__001","group__002","title","location__-","segments__url","segments__count","segments__link","url","items","shelf_id","count","dates","language__-","online_format__-","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","mime_type__001","mime_type__002","mime_type__003","mime_type__004"
"True","performing arts encyclopedia","the danny kaye and sylvia fine collection","","","videorecording |   16mm color film |   This film shows Kaye visiting G.I.s in Korea, a baseball game between Boston and Pittburgh teams, and Kaye's daughter Dena with a playmate. (Print viewed). (General).   From: Home Movies (General).   4:3   Videorecording (Form).","2017-10-13T18:59:33.311Z","False","performingarts","film, video","","","","","","","","","","","","2017-03-15T17:03:22.344Z","","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200198139/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200198139/default.html","http://hdl.loc.gov/loc.natlib/ihas.200198139","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200198139))","http://www.loc.gov/item/ihas.200198139/","http://www.loc.gov/resource/ihas.200198139.0/","http://www.loc.gov/resource/ihas.200198139.1/","http://www.loc.gov/item/ihas.200198139","http://www.loc.gov/resource/ihas.200198139","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200198139))","http://www.loc.gov/item/ihas.200198139/","1","ihas/mets","performingarts","Danny Kaye, Korea/baseball/Dena","","","","","https://www.loc.gov/item/ihas.200198139/","","http://www.loc.gov/item/ihas.200198139","","","","video","False","","","","","application/x-video","","",""
"True","performing arts encyclopedia","the danny kaye and sylvia fine collection","music division","","photograph |   2p., 25.5cm x 20.5cm |   Photograph (Form).","2017-10-13T18:57:30.146Z","False","performingarts","photo, print, drawing","","","","","","","","","","","","2017-03-15T17:03:10.620Z","","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200186658/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200186658/default.html","http://hdl.loc.gov/loc.natlib/ihas.200186658","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200186658))","http://www.loc.gov/item/ihas.200186658/","http://www.loc.gov/resource/ihas.200186658.0/","http://www.loc.gov/item/ihas.200186658","http://www.loc.gov/resource/ihas.200186658","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200186658))","","http://www.loc.gov/item/ihas.200186658/","2","ihas/mets","performingarts","[ Danny Kaye swinging a baseball bat at a pitch]","","https://www.loc.gov/resource/ihas.200186658.0/","2","https://www.loc.gov/collections/danny-kaye-and-sylvia-fine/?at=results&fa=segmentof:ihas.200186658.0/&fo=json&q=baseball&st=gallery","https://www.loc.gov/item/ihas.200186658/","","Kaye/Fine Collection, new accession","","","","image","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186658/0001.tif/210","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186658/0001.tif/210#h=255&w=210","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186658/0001.tif/1682#h=2047&w=1682","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186658/0001.tif/3365#h=4095&w=3365","image/tiff","image/jpg","application/json+dzi","image/jpeg"
"True","performing arts encyclopedia","the danny kaye and sylvia fine collection","music division","","photograph |   1p., 25.5cm x 20.5cm |   Photograph (Form).","2017-10-13T18:58:59.871Z","False","performingarts","photo, print, drawing","","","","","","","","","","","","2017-03-15T17:03:18.548Z","","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200197212/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200197212/default.html","http://hdl.loc.gov/loc.natlib/ihas.200197212","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200197212))","http://www.loc.gov/item/ihas.200197212/","http://www.loc.gov/resource/ihas.200197212.0/","http://www.loc.gov/item/ihas.200197212","http://www.loc.gov/resource/ihas.200197212","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200197212))","","http://www.loc.gov/item/ihas.200197212/","3","ihas/mets","performingarts","[ Danny Kaye, wearing a Dodgers jacket, holds up a baseball]","","","","","https://www.loc.gov/item/ihas.200197212/","","Kaye/Fine Collection, new accession, DKA_VSBox 7","","","","image","False","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200197212/0001.tif/155","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200197212/0001.tif/155#h=191&w=155","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200197212/0001.tif/1245#h=1535&w=1245","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200197212/0001.tif/2491#h=3071&w=2491","image/tiff","image/jpg","application/json+dzi","image/jpeg"
"True","performing arts encyclopedia","the danny kaye and sylvia fine collection","music division","","photograph |   1p., 25.5cm x 20.5cm |   Photograph (Form).","2017-10-13T18:57:30.146Z","False","performingarts","photo, print, drawing","","","","","","","","","","","","2017-03-15T17:03:10.620Z","","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200186657/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200186657/default.html","http://hdl.loc.gov/loc.natlib/ihas.200186657","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200186657))","http://www.loc.gov/item/ihas.200186657/","http://www.loc.gov/resource/ihas.200186657.0/","http://www.loc.gov/item/ihas.200186657","http://www.loc.gov/resource/ihas.200186657","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200186657))","","http://www.loc.gov/item/ihas.200186657/","4","ihas/mets","performingarts","[ Danny Kaye holding up a baseball jersey that reads ""40 Kid From Brooklyn""]","","","","","https://www.loc.gov/item/ihas.200186657/","","Kaye/Fine Collection, new accession","","","","image","False","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186657/0001.tif/206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186657/0001.tif/206#h=254&w=206","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186657/0001.tif/1651#h=2039&w=1651","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200186657/0001.tif/3302#h=4079&w=3302","image/tiff","image/jpg","application/json+dzi","image/jpeg"
"True","digital collections","the danny kaye and sylvia fine collection","music division","performing arts","<figure class=""image-align-left""><a href=""/resource/ihas.200186259"">  <img alt="""" src=""/collections/static/danny-kaye-and-sylvia-fine/images/200186259.jpg"" /></a>  <figcaption><strong>Danny Kaye and Sylvia Fine in London</strong> American actor, singer and comedian Danny Kaye arrives with his wife, Sylvia Fine, for an appearance in London. November 1948.</figcaption></figure>    <!-- collection_image -->  <p>Following the professional lives of the husband-wife artistic duo, this presentation features a wide variety of materials, including manuscripts, scores, scripts, photographs, sound recordings and video clips from the Danny Kaye and Sylvia Fine Collection. Kaye, a multi-faceted entertainer, worked his way from performing at summer resorts to starring in feature films and conducting major symphony orchestras. Fine, a composer and writer, went from writing revues at small theatres to composing music for Danny’s studio films and teaching at Yale University.</p>    <p>In 1990, Sylvia Fine made an initial donation to the Library of Congress to form the Danny Kaye and Sylvia Fine Collection.  In recent years, more items have been received from the Danny Kaye and Sylvia Fine Foundation and Dena Kaye to supplement the collection.  For this online presentation, only a selection of items has been digitized.</p>  <p>As a whole, the Danny Kaye and Sylvia Fine Collection consists primarily of music, scripts, Musical Comedy Library materials, awards and realia. Materials from <em>The John Gary Show</em> (1966), a spin off show for a former guest of <em>The Danny Kaye Show</em>, are included in the collection as well. The collection spans from the 1940s to the 1980s.</p>    <p>The music in the collection is mostly comprised of material that Kaye performed on <em>The Danny Kaye Show</em> (1963-67), his performance tours, movies, stage plays, and television specials. This material is in the form of printed parts, scores, orchestral arrangements, and sheet music. It also includes compositions by Fine in the form of manuscripts, printed music, and lyric sheets. The collection includes songs such as ""Tschaikowsky,"" ""The Dodgers Song,"" ""Ballin' the Jack,"" and Fine's ""Anatole of Paris,"" "" Life Could Not Better Be,"" and ""Melody in 4F.""</p>  <p>Scripts in the collection include those from <em>The Danny Kaye Show</em> (1963-67), a television series which featured guests such as Lucille Ball, Gwen Verdon, Ella Fitzgerald, and Louis Armstrong. There are also scripts from <em>The Danny Kaye Show</em> radio series (1944-46), <em>The John Gary Show</em> (1966), stage plays such as <em>Two by Two</em> (1970), and television specials such as <em>Kaye's Look-In at the Metropolitan Opera</em> (1974).</p>    <p>The movie scripts, some of which are housed in personalized leather binders and include black and white 8x10 photographs of movies scenes, include <em>Up In Arms</em> (1944), <em>Hans Christian Anderson</em> (1952), <em>The Court Jester</em> (1956), <em>The Man from the Diner's Club</em> (1962), and <em>Skokie</em> (1981).</p>    <p>The Musical Comedy Library portion of the collection consists of materials regarding <em>Musical</em> <em>Comedy Tonight I</em> (1979), <em>Musical Comedy Tonight II</em> (1981), and <em>Musical Comedy Tonight III</em> (1985), a series of shows produced by Fine. These shows were based on a series of lectures about musical comedy that she taught at the University of Southern California and Yale University. The materials consist of music, scripts, books, slides, programs, and various research materials. There is also a considerable amount of <em>Danny Kaye Show</em> material included in the Musical Comedy Library.</p>  <p>The awards in the collection consist of honors received by Fine and Kaye, with the bulk of the awards belonging to Kaye. He received many awards for his great humanitarianism such as The Kennedy Center honor (1984), the Lions International Humanitarian Award (1973-74), and several awards from the United Nations Children's Fund (UNICEF). He also received awards for his talents including induction into The Entertainment Hall of Fame Foundation (1974-76), and an Emmy award (1963-64) and several nominations from the National Academy of Television Arts and Sciences. Fine's awards include an Emmy award (1975-76) from the National Academy of Arts and Sciences, a George Foster Peabody Broadcasting Award (1979), and an award and appointment to the Advisory Committee on the Arts (1962) by John F. Kennedy.</p>    <p>The realia includes miscellaneous items such as an engraved walking stick from Harry Lauder (1949), a parachute, a bull whip, souvenir baseballs, plaques, commemorative plates, model airplanes, graduation robes, mementos, and a variety of other items.</p>  <p>The collection also includes correspondence, business papers, and photographs.</p>  <p>The audio-visual materials are housed in the Motion Picture, Broadcasting and Recorded Sound Division and are referenced by an LC-Record number. These materials include videos of <em>The Danny Kaye Show</em> (1963-67) and record albums recorded by Kaye.</p>  <p>A finding aid listing the materials held in the collection by the Music Division is available at <a href=""http://hdl.loc.gov/loc.music/eadmus.mu012007"">http://hdl.loc.gov/loc.music/eadmus.mu012007</a>  </p>","2018-06-21T06:55:28.843Z","False","","collection","notated music","photo, print, drawing","manuscript/mixed material","film, video","sound recording","kaye, danny","fine, sylvia","halsman, philippe","mcdowall, roddy","dena pictures, inc","kaye (danny)/fine (sylvia) collection (library of congress)","2018-06-21T06:34:41.082Z","1918","http://www.loc.gov/collections/danny-kaye-and-sylvia-fine/about-this-collection/","http://www.loc.gov/collections/kaye/","http://lccn.loc.gov/2006560770","http://www.loc.gov/item/2006560770/","http://hdl.loc.gov/loc.music/eadmus.mu012007","http://www.loc.gov/resource/eadmus.mu012007/","http://hdl.loc.gov/loc.music/collmus.mu000018","http://www.loc.gov/resource/eadmus.mu012007.3/","http://hdl.loc.gov/loc.music/eadmus.mu012007.3","http://www.loc.gov/resource/collmus.mu000018/","http://www.loc.gov/collections/danny-kaye-and-sylvia-fine/about-this-collection/","5","collections-portal","","The Danny Kaye and Sylvia Fine Collection","united states","","","","https://www.loc.gov/collections/danny-kaye-and-sylvia-fine/about-this-collection/","https://www.loc.gov/collections/danny-kaye-and-sylvia-fine/","ML31 .K397","2054","1940-01-01T00:00:00Z","english","","False","https://www.loc.gov/collections/static/danny-kaye-and-sylvia-fine/155_155.jpg#h=155&w=155","https://www.loc.gov/collections/static/danny-kaye-and-sylvia-fine/500_500.jpg#h=500&w=500","","","","","",""
"","","","","address books","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","artifacts (object genre)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1942-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","awards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1943-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","clippings (information artifacts)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1944-01-01T00:00:00Z","","","","","","","","","","",""
"","","","","contracts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1945-01-01T00:00:00Z","","","","","","","","","","",""
