"location_w__001","location_w__002","location_w__003","contributor_w__-","access_restricted","original_format__001","original_format__002","original_format__003","contributor__001","contributor__002","contributor__003","id","partof__001","partof__002","partof__003","partof__004","partof__005","partof__006","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","index","number__-","group__001","group__002","group__003","group__004","group__005","group__006","title","online_format__001","online_format__002","mime_type__001","mime_type__002","mime_type__003","mime_type__004","mime_type__005","location__001","location__002","number_former_id__-","location__003","location__004","digitized","description__-","timestamp","site__001","site__002","site__003","extract_timestamp","date","shelf_id","count","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009","aka__010","aka__011","aka__012","aka__013","aka__014","aka__015","dates__-","language__-","url","items","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","image_url__005","partof_w__001","partof_w__002","partof_w__003","partof_w__004","partof_w__005","subject_w__001","subject_w__002","subject_w__003","subject_w__004","subject_w__005","subject_w__006","subject_w__007","subject_w__008","subject_w__009","subject_w__010"
"united states","hawaii","honolulu","loo, tai sing","False","photo, print, drawing","","","loo, tai sing","","","http://www.loc.gov/item/89712596/","prints and photographs division","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","","","baseball players","hawaii","honolulu","baseball","united states","group portraits","montages","photographic prints","portrait photographs","photomontages","","","1","","cph","catalog","bbpix.mar","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","Chinese baseball team tour of the United States, 1913","image","","image/gif","image/jpg","image/tif","image/jpeg","","united states","hawaii","","honolulu","","True","1 photographic print. | Composite photograph of 15 Chinese baseball players from team based in Honolulu, Hawaii, around list of colleges they played against and three trophies.","2017-02-11T18:05:15.829Z","pictures","catalog","ammem","2017-02-10T21:25:31.651Z","1914","BIOG FILE - Groups--Baseball [item] [P&P]","","http://www.loc.gov/pictures/collection/cph/item/89712596/","http://hdl.loc.gov/loc.pnp/cph.3b43713","http://www.loc.gov/item/89712596/","http://www.loc.gov/pictures/item/89712596/","http://hdl.loc.gov/loc.pnp/ppmsca.18469","http://www.loc.gov/resource/ppmsca.18469/","http://www.loc.gov/resource/cph.3b43713/","http://lccn.loc.gov/89712596","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b43713))","","","","","","","1914-01-01T00:00:00Z","english","https://www.loc.gov/item/89712596/","","False","//cdn.loc.gov/service/pnp/ppmsca/18400/18469_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/18400/18469_150px.jpg#h=150&w=118","//cdn.loc.gov/service/pnp/ppmsca/18400/18469t.gif#h=150&w=118","//cdn.loc.gov/service/pnp/ppmsca/18400/18469r.jpg#h=640&w=502","//cdn.loc.gov/service/pnp/ppmsca/18400/18469v.jpg#h=1024&w=803","prints and photographs division","catalog","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","","baseball players","hawaii","honolulu","baseball","united states","group portraits","montages","photographic prints","portrait photographs","photomontages"
"","","","","False","photo, print, drawing","","","van oeyen, louis","","","http://www.loc.gov/item/89714223/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","catalog","american memory","","","jackson, joe","cobb, ty","baseball players","ohio","cleveland","michigan","detroit","gelatin silver prints","group portraits","portrait photographs","photographic prints","","2","","cph","catalog","bbpix.mar","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Ty Cobb, Detroit, and Joe Jackson, Cleveland, standing alongside each other, each holding bats]","image","","image/gif","image/jpg","image/tif","image/jpeg","","ohio","michigan","","detroit","cleveland","True","BIOG FILE print 1 photographic print : gelatin silver ; sheet 17.2 x 12.8 cm, on mount 34.4 x 27.9 cm (14 x 11 in.)","2017-10-28T17:49:44.375Z","pictures","catalog","ammem","2017-10-28T17:49:04.941Z","1913","BIOG FILE - Jackson, Joe [item] [P&P] Unprocessed in PR 03 - Sports--Baseball Another copy. [P&P]","","http://www.loc.gov/pictures/collection/cph/item/89714223/","http://hdl.loc.gov/loc.pnp/ppmsca.18474","http://www.loc.gov/item/89714223/","http://www.loc.gov/pictures/item/89714223/","http://hdl.loc.gov/loc.pnp/ppmsca.31945","http://hdl.loc.gov/loc.pnp/cph.3b43970","http://www.loc.gov/resource/ppmsca.31945/","http://www.loc.gov/resource/ppmsca.18474/","http://www.loc.gov/resource/cph.3b43970/","http://lccn.loc.gov/89714223","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(cph+3b43970))","","","","","1913-01-01T00:00:00Z","english","https://www.loc.gov/item/89714223/","","False","//cdn.loc.gov/service/pnp/cph/3b40000/3b43000/3b43900/3b43970_150px.jpg","//cdn.loc.gov/service/pnp/ppmsca/31900/31945_150px.jpg#h=150&w=115","//cdn.loc.gov/service/pnp/ppmsca/31900/31945t.gif#h=150&w=115","//cdn.loc.gov/service/pnp/ppmsca/31900/31945r.jpg#h=640&w=492","//cdn.loc.gov/service/pnp/ppmsca/31900/31945v.jpg#h=1024&w=787","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97519504/","prints and photographs division","serial and government publications division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","robinson, jackie","associated objects","brooklyn dodgers (baseball team)","baseball players","comic books","halftone photomechanical prints","color","magazine covers","","","","","3","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Front cover of Jackie Robinson comic book]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photomechanical print : halftone, color. | Shows head-and-shoulders portrait of Jackie Robinson in Brooklyn Dodgers cap; inset image shows Jackie Robinson covering a slide at second base.","2017-02-11T18:16:13.922Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1951","Comics box 166a [Newspaper & Current Periodical RR]","","http://www.loc.gov/pictures/collection/cph/item/97519504/","http://hdl.loc.gov/loc.pnp/cph.3g06144","http://www.loc.gov/item/97519504/","http://www.loc.gov/pictures/item/97519504/","http://hdl.loc.gov/loc.pnp/ppmsc.00133","http://www.loc.gov/resource/ppmsc.00133/","http://www.loc.gov/resource/cph.3g06144/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00133))","http://lccn.loc.gov/97519504","","","","","","","1951-01-01T00:00:00Z","english","https://www.loc.gov/item/97519504/","","False","//cdn.loc.gov/service/pnp/ppmsc/00100/00133_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00100/00133_150px.jpg#h=150&w=105","//cdn.loc.gov/service/pnp/ppmsc/00100/00133t.gif#h=150&w=105","//cdn.loc.gov/service/pnp/ppmsc/00100/00133r.jpg#h=858&w=600","//cdn.loc.gov/service/pnp/ppmsc/00100/00133v.jpg#h=1024&w=716","prints and photographs division","serial and government publications division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","robinson, jackie","associated objects","brooklyn dodgers (baseball team)","baseball players","comic books","halftone photomechanical prints","color","magazine covers","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97519505/","prints and photographs division","serial and government publications division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","robinson, jackie","associated objects","brooklyn dodgers (baseball team)","comic books","halftone photomechanical prints","color","magazine covers","","","","","","4","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Back cover of Jackie Robinson comic book]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photomechanical print : halftone, color. | Half-length portrait of Jackie Robinson in Brooklyn Dodgers uniform, posed, holding baseball bat.","2017-02-11T18:16:13.922Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1951","Comics box 166a [Newspaper & Current Periodical RR]","","http://www.loc.gov/pictures/collection/cph/item/97519505/","http://hdl.loc.gov/loc.pnp/cph.3g06147","http://www.loc.gov/item/97519505/","http://www.loc.gov/pictures/item/97519505/","http://hdl.loc.gov/loc.pnp/ppmsc.00134","http://www.loc.gov/resource/ppmsc.00134/","http://www.loc.gov/resource/cph.3g06147/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00134))","http://lccn.loc.gov/97519505","","","","","","","1951-01-01T00:00:00Z","english","https://www.loc.gov/item/97519505/","","False","//cdn.loc.gov/service/pnp/ppmsc/00100/00134_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00100/00134_150px.jpg#h=150&w=105","//cdn.loc.gov/service/pnp/ppmsc/00100/00134t.gif#h=150&w=105","//cdn.loc.gov/service/pnp/ppmsc/00100/00134r.jpg#h=856&w=600","//cdn.loc.gov/service/pnp/ppmsc/00100/00134v.jpg#h=1024&w=718","prints and photographs division","serial and government publications division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","robinson, jackie","associated objects","brooklyn dodgers (baseball team)","comic books","halftone photomechanical prints","color","magazine covers","","",""
"","","","","False","collection","photo, print, drawing","manuscript/mixed material","library of congress. prints and photographs division","library of congress. manuscript division","library of congress. national digital library program","http://www.loc.gov/collections/jackie-robinson-baseball/about-this-collection/","digital collections","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","prints and photographs division","manuscript division","","","sports & recreation","african american history","","","","","","","","","","","5","","collections-portal","","","","","","By Popular Demand: Jackie Robinson and Other Baseball Highlights, 1860s-1960s","","","","","","","","","","","","","True","<p>2007 marks the 60th anniversary of Jackie Robinson's rookie season for the Brooklyn Dodgers. When he stepped onto Ebbets field on April 15th, 1947, Robinson became the first African American in the twentieth century to play baseball in the major leagues -- breaking the ""color line,"" a segregation practice dating to the nineteenth century. Jackie Robinson was an extremely talented multi-sport athlete and a courageous man who played an active role in civil rights. This presentation was created to commemorate his achievements and describe some aspects of the color line's development and the Negro Leagues. Materials that tell his story, and the history of baseball in general, are located throughout the Library of Congress. This web presentation was made possible by a generous gift from the Citigroup Foundation.</p> <h2>Selection Criteria</h2> <p>While the Library of Congress does not have collections that focus solely on Jackie Robinson, the baseball color line, or the Negro Leagues, diverse original materials relevant to all of these topics can be found through the Library's numerous reading rooms. With the goal of representing many different media, Library staff selected and reproduced approximately 30 interesting items created between the 1860s and the 1960s, including manuscripts, photographs, ephemera, and books. Narrative information drawn from encyclopedia articles, published biographies, and baseball histories established the context for understanding the original materials.</p> <p>The Library holds additional original materials that could not be reproduced here, either because they are still under copyright protection (for example, NBC radio broadcasts), or, because digitization would be very expensive (for example, the full-length movie The Jackie Robinson Story).</p> <p>This online presentation introduces a multi-faceted man and a variety of complex issues, topics, and events that risk oversimplification in any short retelling. Books listed in the <a href=""/collections/jackie-robinson-baseball/about-this-collection/related-resources/#bibliography"">Bibliography</a> should be consulted for further information.</p> <p>The breadth of resources at the Library of Congress is impressive, but other libraries and organizations also offer a wealth of information on these subjects. Selected sources are listed in the <a href=""/collections/jackie-robinson-baseball/about-this-collection/related-resources/#related-websites"">Related Web Sites </a>section.</p> <h2>By Popular Demand: Images from the Prints and Photographs Division</h2> <p>Library patrons and staff often select pictorial materials from the Prints and Photographs Division for reproduction in books, exhibits, lectures, television documentaries, decorative calendars, research papers, and many other kinds of projects. Researchers arrange with the Library's Photoduplication Service to produce copies of selected items. Typically ordered are 8x10-inch prints or 4x5-inch color transparencies. In order to make the prints, the Photoduplication Service must create a copy negative, if none exists. Afterwards, those negatives and color transparencies are added to a file of high-demand images maintained by the Prints and Photographs Division.</p> <p>In 1996, this file contained approximately 120,000 negatives and transparencies. The high demand image file serves as a ready reference source for many of the Library's most popular pictures. The high-demand image file complements the division's heavily used collections of original negatives, including its Selected Civil War Photographs , Farm Security Administration/Office of War Information Collection (forthcoming), and Historic American Buildings Survey and Historic American Engineering Record collections.</p> <p>Over time, the Library plans to place a significant percentage of the high-demand file online under the series title ""By Popular Demand."" The first group of images will consist of items which appear in staff-selected illustrated reference aids. Likely candidates will be guides relating to immigration at Ellis Island and the Statue of Liberty. The entire high-demand file covers a broad range of international subjects and popular American topics such as eyewitness drawings of the Civil War, photographs of Native Americans, historical prints by Currier & Ives, political cartoons, and portraits of prominent figures in many fields.</p>","2018-06-21T06:55:30.640Z","","","","2018-06-21T06:34:41.082Z","1998","GV865.R6","71","http://www.loc.gov/collections/jackie-robinson-baseball/about-this-collection/","http://www.loc.gov/collections/jackie/","http://lccn.loc.gov/00530049","http://www.loc.gov/item/00530049/","http://hdl.loc.gov/loc.pnp/pp.robinson","http://www.loc.gov/resource/pp.robinson/","","","","","","","","","","1998-01-01T00:00:00Z","english","https://www.loc.gov/collections/jackie-robinson-baseball/about-this-collection/","https://www.loc.gov/collections/jackie-robinson-baseball/","False","https://www.loc.gov/collections/static/jackie-robinson-baseball/155_155.jpg#h=155&w=155","https://www.loc.gov/collections/static/jackie-robinson-baseball/500_500.jpg#h=500&w=500","","","","","","","","","","","","","","","","","",""
"","","","","False","photo, print, drawing","","","","","","http://www.loc.gov/item/97519031/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","harvard university","sports","baseball players","group portraits","halftone photomechanical prints","portrait photographs","","","","","","","6","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","Harvard University Team, 1904","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 photomechanical print : halftone. | Harvard University baseball team posed: Thornton, Asst. Mgr (#1); Frantz, Coach (#2); McMaster, Trainer (#3); Krumbhaar, Mgr. (#4); Fishel (#5); Randall (#6); Stephenson (#7); Coburn (#8); Kernan (#9); Carr, Capt. (#10); Matthews (#11); Greenough (#12); McCarty (#13).","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1905","Illus. in GV877 .S73 [General Collections]","","http://www.loc.gov/pictures/collection/cph/item/97519031/","http://hdl.loc.gov/loc.pnp/cph.3c19879","http://www.loc.gov/item/97519031/","http://www.loc.gov/pictures/item/97519031/","http://hdl.loc.gov/loc.pnp/ppmsc.00063","http://www.loc.gov/resource/ppmsc.00063/","http://www.loc.gov/resource/cph.3c19879/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00063))","http://lccn.loc.gov/97519031","","","","","","","1905-01-01T00:00:00Z","english","https://www.loc.gov/item/97519031/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00063_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00063_150px.jpg#h=85&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00063t.gif#h=85&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00063r.jpg#h=452&w=800","//cdn.loc.gov/service/pnp/ppmsc/00000/00063v.jpg#h=578&w=1024","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","harvard university","sports","baseball players","group portraits","halftone photomechanical prints","portrait photographs","","","",""
"havana","cuba","","","True","photo, print, drawing","","","","","","http://www.loc.gov/item/97519073/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","baseball players","cuba","havana","halftone photomechanical prints","montages","portrait photographs","","","","","","","7","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","Jugadores del Habana","image","","image/gif","image/jpg","image/tif","image/jpeg","","havana","cuba","","","","True","1 photomechanical print : halftone. | Composite of individual portraits of nine team members: Gonzalo Sanchez, catcher (#1); Sam Lloyd, short stop (#2); Ricardo Hernandez, outfielder (#3); Preston Hill, outfielder (#4); Grant Johnson, short stop & second base (#5); Luis Padron, rightfielder (#6); J.H. Magronat, outfielder (#7); Carlos Moran, third base (#8); Camilo Valdes, mascot (#9).","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1911","Illus. in GV877 .S732 1911 [General Collections]","","http://www.loc.gov/pictures/collection/cph/item/97519073/","http://hdl.loc.gov/loc.pnp/cph.3c19884","http://www.loc.gov/item/97519073/","http://www.loc.gov/pictures/item/97519073/","http://hdl.loc.gov/loc.pnp/ppmsc.00038","http://www.loc.gov/resource/ppmsc.00038/","http://www.loc.gov/resource/cph.3c19884/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00038))","http://lccn.loc.gov/97519073","","","","","","","1911-01-01T00:00:00Z","english","https://www.loc.gov/item/97519073/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00038_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00038_150px.jpg#h=150&w=87","//cdn.loc.gov/service/pnp/ppmsc/00000/00038t.gif#h=150&w=87","//cdn.loc.gov/service/pnp/ppmsc/00000/00038v.jpg#h=1024&w=593","//cdn.loc.gov/service/pnp/ppmsc/00000/00038r.jpg#h=1036&w=600","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","baseball players","cuba","havana","halftone photomechanical prints","montages","portrait photographs","","","",""
"color","","","","True","photo, print, drawing","","","","","","http://www.loc.gov/item/97519068/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","spalding, a. g.","(albert goodwill)","associated objects","baseball players","baseballs","covers (illustration)","lithographs","color","","","","","8","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Cover of the Spanish-American edition of ""Spalding's Official Base Ball Guide""]","image","","image/gif","image/jpg","image/tif","image/jpeg","","color","","","","","True","1 print : lithograph, color.","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1913","Illus. in GV877 .S732 1913 [General Collections]","","http://www.loc.gov/pictures/collection/cph/item/97519068/","http://hdl.loc.gov/loc.pnp/cph.3g06145","http://www.loc.gov/item/97519068/","http://www.loc.gov/pictures/item/97519068/","http://hdl.loc.gov/loc.pnp/ppmsc.00061","http://www.loc.gov/resource/ppmsc.00061/","http://www.loc.gov/resource/cph.3g06145/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00061))","http://lccn.loc.gov/97519068","","","","","","","1913-01-01T00:00:00Z","english","https://www.loc.gov/item/97519068/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00061_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00061_150px.jpg#h=110&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00061t.gif#h=110&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00061r.jpg#h=585&w=800","//cdn.loc.gov/service/pnp/ppmsc/00000/00061v.jpg#h=748&w=1024","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","spalding, a. g.","(albert goodwill)","associated objects","baseball players","baseballs","covers (illustration)","lithographs","color","",""
"","","","sandberg, bob","True","photo, print, drawing","","","sandberg, bob","","","http://www.loc.gov/item/97518921/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","robinson, jackie","brooklyn dodgers (baseball team)","people","film negatives","portrait photographs","photographic prints","","","","","","","9","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Jackie Robinson of the Brooklyn Dodgers, posed and ready to swing]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 negative : film.","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1954","LC-L9-54-3566-O, no. 17 [P&P] LOOK - Job 54-3566-O, no. 17 (Corresponding contact sheet:)","","http://www.loc.gov/pictures/collection/cph/item/97518921/","http://www.loc.gov/item/97518921/","http://www.loc.gov/pictures/item/97518921/","http://hdl.loc.gov/loc.pnp/ppmsc.00048","http://www.loc.gov/resource/ppmsc.00048/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00048))","http://lccn.loc.gov/97518921","","","","","","","","","1954-01-01T00:00:00Z","english","https://www.loc.gov/item/97518921/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00048_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00048t.gif#h=150&w=103","//cdn.loc.gov/service/pnp/ppmsc/00000/00048_150px.jpg#h=150&w=107","//cdn.loc.gov/service/pnp/ppmsc/00000/00048r.jpg#h=930&w=640","//cdn.loc.gov/service/pnp/ppmsc/00000/00048v.jpg#h=1024&w=732","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","robinson, jackie","brooklyn dodgers (baseball team)","people","film negatives","portrait photographs","photographic prints","","","",""
"","","","sandberg, bob","True","photo, print, drawing","","","sandberg, bob","","","http://www.loc.gov/item/97518915/","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","","robinson, jackie","brooklyn dodgers (baseball team)","people","film negatives","portrait photographs","photographic prints","","","","","","","10","","cph","bbpix.mar","catalog","miscellaneous-items-high-demand","baseball-and-jackie-robinson","","[Jackie Robinson in Brooklyn Dodgers uniform, swinging bat]","image","","image/gif","image/jpg","image/tif","image/jpeg","","","","","","","True","1 negative : film.","2017-02-11T18:16:10.961Z","pictures","ammem","catalog","2017-02-10T21:27:15.193Z","1954","LC-L9-54-3566-O, no. 7 [P&P] LOOK -  Job 54-3566-O, no. 7 (Corresponding contact sheet:)","","http://www.loc.gov/pictures/collection/cph/item/97518915/","http://www.loc.gov/item/97518915/","http://www.loc.gov/pictures/item/97518915/","http://hdl.loc.gov/loc.pnp/ppmsc.00047","http://www.loc.gov/resource/ppmsc.00047/","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ppmsc+00047))","http://lccn.loc.gov/97518915","","","","","","","","","1954-01-01T00:00:00Z","english","https://www.loc.gov/item/97518915/","","False","//cdn.loc.gov/service/pnp/ppmsc/00000/00047_150px.jpg","//cdn.loc.gov/service/pnp/ppmsc/00000/00047_150px.jpg#h=105&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00047t.gif#h=105&w=150","//cdn.loc.gov/service/pnp/ppmsc/00000/00047r.jpg#h=446&w=640","//cdn.loc.gov/service/pnp/ppmsc/00000/00047v.jpg#h=714&w=1024","prints and photographs division","by popular demand: jackie robinson and other baseball highlights, 1860s-1960s","american memory","catalog","","robinson, jackie","brooklyn dodgers (baseball team)","people","film negatives","portrait photographs","photographic prints","","","",""
