"access_restricted","site__001","site__002","original_format__001","original_format__002","contributor__001","contributor__002","contributor__003","contributor__004","contributor__005","contributor__006","id","partof__001","partof__002","partof__003","partof__004","subject__001","subject__002","subject__003","subject__004","subject__005","subject__006","subject__007","subject__008","subject__009","subject__010","subject__011","subject__012","subject__013","index","group__001","group__002","group__003","group__004","title","segments__url","segments__count","segments__link","online_format__-","location__001","location__002","location__003","location__004","location__005","location__006","mime_type__001","mime_type__002","mime_type__003","mime_type__004","digitized","description__-","timestamp","extract_timestamp","date","shelf_id","count","other_title__001","other_title__002","other_title__003","dates__001","dates__002","dates__003","dates__004","dates__005","dates__006","dates__007","dates__008","dates__009","dates__010","language__001","language__002","language__003","url","items","hassegments","image_url__001","image_url__002","image_url__003","image_url__004","aka__001","aka__002","aka__003","aka__004","aka__005","aka__006","aka__007","aka__008","aka__009"
"False","performingarts","","notated music","","mcdonald, c. p.","brown, al. w.","","","","","http://www.loc.gov/item/ihas.200033307/","the library of congress celebrates the songs of america","performing arts encyclopedia","baseball sheet music","","baseball","songs and music","popular songs of the day","work and industry","progressive era to new era","sports and leisure","","","","","","","","1","ihas/mets","performingarts","","","Base ball ditties","https://www.loc.gov/resource/ihas.200033307.0/","30","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:ihas.200033307.0/&fo=json&sb=shelf-id&st=gallery","image","","","","","","","image/tiff","image/jpg","application/json+dzi","image/jpeg","True","Sheet music |   29 p., 9 x 12 in. |   Sheet Music (Form).   Sheet Music (Form).","2017-10-13T18:53:44.602Z","2017-03-15T17:02:51.170Z","","M 1977 .S7 B7","","","","","","","","","","","","","","","","","","https://www.loc.gov/item/ihas.200033307/","","True","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033307/0001.tif/194","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033307/0001.tif/194#h=248&w=194","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033307/0001.tif/1554#h=1991&w=1554","//lcweb2.loc.gov/diglib/media/loc.natlib.ihas.200033307/0001.tif/3108#h=3983&w=3108","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033307/","http://lcweb2.loc.gov/diglib/ihas/loc.natlib.ihas.200033307/default.html","http://hdl.loc.gov/loc.natlib/ihas.200033307","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033307))","http://www.loc.gov/item/ihas.200033307/","http://www.loc.gov/resource/ihas.200033307.0/","http://www.loc.gov/item/ihas.200033307","http://www.loc.gov/resource/ihas.200033307","http://memory.loc.gov/cgi-bin/query/r?ammem/AMALL:@field(NUMBER+@band(ihas+200033307))"
"False","performingarts","catalog","notated music","","a. m. schacht & co.","schacht, a. m.","bilse, (benjamin)","","","","http://www.loc.gov/item/2017570101/","baseball sheet music","performing arts encyclopedia","catalog","","new york gothams (baseball team)","songs and music","marches (orchestra)","parts","baseball","notated music","parts (music)","marches (music)","","","","","","2","special/baseball","catalog","pae-temp","main-catalog","Gotham march","https://www.loc.gov/resource/musbaseball.100002.0/","30","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100002.0/&fo=json&sb=shelf-id&st=gallery","image","new york","","","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Parts (Music).   Marches (Music).   A. M. Schacht. MARCH : Mit Bomben und Granaten / B. Bilse. (Statement Of Responsibility).   For orchestra.   Caption titles from 1st violin part.   Staff notation. (Language).","2018-05-18T16:43:02.125Z","2018-05-18T16:41:58.915Z","1882","M1046 .G69 1882","","Mit Bomben und Granaten","","","1882-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570101/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100002:musbaseball-100002.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100002:musbaseball-100002.0001/full/pct:6.25/0/default.jpg#h=279&w=195","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100002:musbaseball-100002.0001/full/pct:12.5/0/default.jpg#h=557&w=389","","http://lccn.loc.gov/2017570101","http://www.loc.gov/item/2017570101/","http://www.loc.gov/item/musbaseball.100002/","http://www.loc.gov/resource/musbaseball.100002.0/","http://www.loc.gov/item/2017570101","http://www.loc.gov/resource/2017570101","","",""
"False","performingarts","catalog","notated music","","kalisky, harry","dellepiane, f.","","","","","http://www.loc.gov/item/2017570103/","baseball sheet music","performing arts encyclopedia","catalog","","orchestral music","parts","popular instrumental music","to 1901","schottisches","baseball","songs and music","notated music","parts (music)","schottisches (music)","popular music","united states","","3","special/baseball","catalog","pae-temp","main-catalog","On the diamond schottische","https://www.loc.gov/resource/musbaseball.100080.0/","11","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100080.0/&fo=json&sb=shelf-id&st=gallery","image","united states","no place, unknown, or undetermined","","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Parts (Music).   Schottisches (Music).   Popular Music..   Kalisky ; ar. by Dellepiane. (Statement Of Responsibility).   Originally for solo piano; arranged for orchestra.   Staff notation. (Language).","2018-05-18T16:43:05.740Z","2018-05-18T16:41:58.915Z","1897","M1048.K2 O5 1897","","","","","1897-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570103/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100080:musbaseball-100080.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100080:musbaseball-100080.0001/full/pct:6.25/0/default.jpg#h=280&w=187","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100080:musbaseball-100080.0001/full/pct:12.5/0/default.jpg#h=559&w=374","","http://lccn.loc.gov/2017570103","http://www.loc.gov/item/2017570103/","http://www.loc.gov/item/musbaseball.100080/","http://www.loc.gov/resource/musbaseball.100080.0/","http://www.loc.gov/item/2017570103","http://www.loc.gov/resource/2017570103","","",""
"False","performingarts","catalog","notated music","","[james f. boyer]","boyer, james f.","","","","","http://www.loc.gov/item/2017570107/","baseball sheet music","performing arts encyclopedia","catalog","","marches (band)","popular instrumental music","baseball","songs and music","pp-mr","notated music","popular music","parts (music)","marches (music)","united states","","","","4","special/baseball","catalog","pae-temp","main-catalog","Over the fence is out paraphrase novelette (can be played as a march)","https://www.loc.gov/resource/musbaseball.100033.0/","24","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100033.0/&fo=json&sb=shelf-id&st=gallery","image","united states","indiana","elkhart","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Pp-Mr.   Notated Music.   Popular Music..   Parts (Music).   Marches (Music).   James F. Boyer. (Statement Of Responsibility).   Band music.   Parts printed 2, 3, or 4 to a sheet.   Title from caption.   LC copy has 2nd copies of some sheets.   Staff notation. (Language).","2018-05-18T16:43:04.247Z","2018-05-18T16:41:58.915Z","1915","M1247 .B","","","","","1915-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570107/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100033:musbaseball-100033.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100033:musbaseball-100033.0001/full/pct:6.25/0/default.jpg#h=270&w=183","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100033:musbaseball-100033.0001/full/pct:12.5/0/default.jpg#h=539&w=366","","http://lccn.loc.gov/2017570107","http://www.loc.gov/item/2017570107/","http://www.loc.gov/item/musbaseball.100033/","http://www.loc.gov/resource/musbaseball.100033.0/","http://www.loc.gov/item/2017570107","http://www.loc.gov/resource/2017570107","","",""
"False","performingarts","catalog","notated music","","a. squire","frankenfield, harry g.","","","","","http://www.loc.gov/item/2017570105/","baseball sheet music","performing arts encyclopedia","catalog","","brooklyn atlantics (baseball team)","songs and music","quicksteps","band music","parts","baseball","notated music","quicksteps (marches)","parts (music)","","","","","5","special/baseball","catalog","pae-temp","main-catalog","Atlantic quick step","https://www.loc.gov/resource/musbaseball.100029.0/","21","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100029.0/&fo=json&sb=shelf-id&st=gallery","image","united states","no place, unknown, or undetermined","","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Quicksteps (Marches).   Parts (Music).   by H.G. Frankenfield. (Statement Of Responsibility).   For band.   Caption title from E♭ clarinet part.   Composed for the Brooklyn Atlantics.   Staff notation. (Language).","2018-05-18T16:43:03.485Z","2018-05-18T16:41:58.915Z","1875","M1247 .F","","","","","1875-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570105/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100029:musbaseball-100029.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100029:musbaseball-100029.0001/full/pct:6.25/0/default.jpg#h=151&w=187","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100029:musbaseball-100029.0001/full/pct:12.5/0/default.jpg#h=301&w=374","","http://lccn.loc.gov/2017570105","http://www.loc.gov/item/2017570105/","http://www.loc.gov/item/musbaseball.100029/","http://www.loc.gov/resource/musbaseball.100029.0/","http://www.loc.gov/item/2017570105","http://www.loc.gov/resource/2017570105","","",""
"False","performingarts","catalog","notated music","","tomaz f. deuther","durand, t.f.","brooks, ellis","","","","http://www.loc.gov/item/2017570108/","baseball sheet music","performing arts encyclopedia","catalog","","chicago white sox (baseball team)","songs and music","marches (band), arranged","parts","popular instrumental music","baseball","mr-pp","notated music","popular music","parts (music)","marches (music)","arrangements (music)","united states","6","special/baseball","catalog","pae-temp","main-catalog","White Sox march; arranged","https://www.loc.gov/resource/musbaseball.100011.0/","16","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100011.0/&fo=json&sb=shelf-id&st=gallery","image","united states","chicago","illinois","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Mr-Pp.   Notated Music.   Popular Music..   Parts (Music).   Marches (Music).   Arrangements (Music).   T.F. Durand ; arr. by Ellis Brooks. (Statement Of Responsibility).   Band music.   Parts printed 2 or 4 to a sheet.   Cover image of 1907 White Sox team.   Cover title.   ""Dedicated to Charles A. Cominsky""--Cover.   Staff notation. (Language).","2018-05-18T16:43:02.807Z","2018-05-18T16:41:58.915Z","1908","M1260 .D","","","","","1908-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570108/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100011:musbaseball-100011.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100011:musbaseball-100011.0001/full/pct:6.25/0/default.jpg#h=272&w=187","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100011:musbaseball-100011.0001/full/pct:12.5/0/default.jpg#h=543&w=373","","http://lccn.loc.gov/2017570108","http://www.loc.gov/item/2017570108/","http://www.loc.gov/item/musbaseball.100011/","http://www.loc.gov/resource/musbaseball.100011.0/","http://www.loc.gov/item/2017570108","http://www.loc.gov/resource/2017570108","","",""
"False","performingarts","catalog","notated music","","jos. morris co.","longbrake, arthur","sorensen, lars","","","","http://www.loc.gov/item/2017570106/","baseball sheet music","performing arts encyclopedia","catalog","","band music, arranged","parts","popular instrumental music","baseball","songs and music","notated music","popular music","parts (music)","arrangements (music)","united states","","","","7","special/baseball","catalog","pae-temp","main-catalog","Brother Noah gave out checks for rain; arranged","https://www.loc.gov/resource/musbaseball.100005.0/","25","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100005.0/&fo=json&sb=shelf-id&st=gallery","image","pennsylvania","united states","philadelphia","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Popular Music..   Parts (Music).   Arrangements (Music).   [words and music by Arthur Longbrake] ; arr. by Lars Sorensen. (Statement Of Responsibility).   Arrangement for band with piano accompaniment.   English words from original version written above parts.   Original composer's name found in secondary reference sources.   Caption title.   Staff notation. (Language).","2018-05-18T16:43:02.125Z","2018-05-18T16:41:58.915Z","1907","M1264.L66 B7 1907","","","","","1907-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570106/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100005:musbaseball-100005.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100005:musbaseball-100005.0001/full/pct:6.25/0/default.jpg#h=285&w=191","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100005:musbaseball-100005.0001/full/pct:12.5/0/default.jpg#h=569&w=382","","http://lccn.loc.gov/2017570106","http://www.loc.gov/item/2017570106/","http://www.loc.gov/item/musbaseball.100005/","http://www.loc.gov/resource/musbaseball.100005.0/","http://www.loc.gov/item/2017570106","http://www.loc.gov/resource/2017570106","","",""
"False","performingarts","catalog","notated music","","sam fox publishing co.","barth, john f. (john frederic)","","","","","http://www.loc.gov/item/2017570100/","baseball sheet music","performing arts encyclopedia","catalog","","marches (orchestra)","parts","notated music","parts (music)","popular music","marches (music)","","","","","","","","8","special/baseball","catalog","pae-temp","main-catalog","Frat march - twostep","https://www.loc.gov/resource/musbaseball.100050.0/","20","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100050.0/&fo=json&sb=shelf-id&st=gallery","image","ohio","cleveland","","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Parts (Music).   Popular Music..   Marches (Music).   by John F. Barth. (Statement Of Responsibility).   For orchestra.   Also available violin and piano; and violin, cornet, and piano.   Staff notation. (Language).","2018-05-18T16:43:04.988Z","2018-05-18T16:41:58.915Z","1910","M1350 .B","","","","","1910-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570100/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100050:musbaseball-100050.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100050:musbaseball-100050.0001/full/pct:6.25/0/default.jpg#h=282&w=187","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100050:musbaseball-100050.0001/full/pct:12.5/0/default.jpg#h=563&w=373","","http://lccn.loc.gov/2017570100","http://www.loc.gov/item/2017570100/","http://www.loc.gov/item/musbaseball.100050/","http://www.loc.gov/resource/musbaseball.100050.0/","http://www.loc.gov/item/2017570100","http://www.loc.gov/resource/2017570100","","",""
"False","performingarts","catalog","notated music","","jos. w. stern and co.","anderson, hilding","scott, bennett","williams, edna","coogan, jack","smith, clay","http://www.loc.gov/item/2017570104/","baseball sheet music","performing arts encyclopedia","catalog","","dance orchestra music, arranged","popular music","waltzes","ragtime music","baseball","songs and music","notated music","parts (music)","waltzes (music)","united states","","","","9","special/baseball","catalog","pae-temp","main-catalog","Do you remember the last waltz? and, You've made a home run with me : medley waltz","https://www.loc.gov/resource/musbaseball.100015.0/","28","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100015.0/&fo=json&sb=shelf-id&st=gallery","image","united states","new york","n. y.","","","","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Parts (Music).   Popular Music..   Waltzes (Music).   Ragtime Music..   by Bennett Scott & Edna Williams ; arr. by Hilding Anderson. The time for a time is summertime ; and, The ragtime engineer : medley two-step / by Hodgkins & Coogan & Lewis & Smith ; arr. by Hilding Anderson. (Statement Of Responsibility).   Popular song medleys arranged for dance orchestra.   Staff notation. (Language).","2018-05-18T16:43:02.807Z","2018-05-18T16:41:58.915Z","1912","M1350 .D","","You've made a home run with me","Time for a time is summer time","Ragtime engineer","1912-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570104/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100015:musbaseball-100015.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100015:musbaseball-100015.0001/full/pct:6.25/0/default.jpg#h=280&w=190","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100015:musbaseball-100015.0001/full/pct:12.5/0/default.jpg#h=559&w=379","","http://lccn.loc.gov/2017570104","http://www.loc.gov/item/2017570104/","http://www.loc.gov/item/musbaseball.100015/","http://www.loc.gov/resource/musbaseball.100015.0/","http://www.loc.gov/item/2017570104","http://www.loc.gov/resource/2017570104","","",""
"False","performingarts","catalog","notated music","","vandersloot music pu co.","lincoln, harry j.","losey, f. h. (frank hoyt)","","","","http://www.loc.gov/item/2017570102/","baseball sheet music","performing arts encyclopedia","catalog","","marches (orchestra)","parts","baseball","songs and music","notated music","parts (music)","marches (music)","popular music","delaware river valley (n.y.-del. and n.j.)","","","","","10","special/baseball","catalog","pae-temp","main-catalog","Tri-state march and two-step","https://www.loc.gov/resource/musbaseball.100032.0/","19","https://www.loc.gov/collections/baseball-sheet-music/?at=results&c=119&fa=segmentof:musbaseball.100032.0/&fo=json&sb=shelf-id&st=gallery","image","delaware river valley","pennsylvania","delaware","new jersey","williamsport","new york","image/tiff","image/jp2","image/gif","image/jpeg","True","Notated Music.   Parts (Music).   Marches (Music).   Popular Music..   Harry J. Lincoln ; arr. by F. H. Losey. (Statement Of Responsibility).   Title from piano part caption.   Orchestration by Lincoln and Losey.   Also available for piano solo.   Staff notation. (Language).","2018-05-18T16:43:03.485Z","2018-05-18T16:41:58.915Z","1906","M1350 .L","","","","","1906-01-01T00:00:00Z","","","","","","","","","","no linguistic content","not applicable","","https://www.loc.gov/item/2017570102/","","True","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100032:musbaseball-100032.0001/full/pct:6.25/0/default.jpg","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100032:musbaseball-100032.0001/full/pct:6.25/0/default.jpg#h=280&w=189","//tile.loc.gov/image-services/iiif/service:music:musbaseball:musbaseball-100032:musbaseball-100032.0001/full/pct:12.5/0/default.jpg#h=559&w=378","","http://lccn.loc.gov/2017570102","http://www.loc.gov/item/2017570102/","http://www.loc.gov/item/musbaseball.100032/","http://www.loc.gov/resource/musbaseball.100032.0/","http://www.loc.gov/item/2017570102","http://www.loc.gov/resource/2017570102","","",""
