Institution,Object Number,Digital ID URL,Object Name,Title,Other Title,Other Title,Object Type,Secondary Object Type,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Creator/Publisher,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Subject,Date,Era,Era,Era,Era,Era,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Collection,Description,Geography,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Location,Copyright
Smithsonian National Museum of African American History and Culture,2014.256.1,https://nmaahc.si.edu/object/nmaahc_2014.256.1,Silver Bat awarded to Tony Gwynn,,,,Awards and Medals,Bats,"Hillerich & Bradsby Co., American, founded 1884",,,,,,,,,,,,,Athletes,Baseball,,,,,,,,,,,,,,,,,,1997,1990s,,,,,,,,,,,,,,"Silver Bat awarded to Tony Gwynn in 1997. Bat is the shape and size of a standard Major League Baseball (MLB) bat, but is made of sterling silver. Etched at center of bat is the Louisville Slugger logo, with the number 125 above it. To the right of the logo, towards the top of the bat, there is another Louisville Slugger logo that reads: [Powerized] to indicate the type of hardening process used on the bat. Next to that logo type etching reads: [BATTING CHAMPION 1997 / NATIONAL LEAGUE / B. A. .372 / GENUINE / TONY GWYNN (Gwynn’s etched signature) / LOUISVILLE SLUGGER]. The bottom of handle reads: [LOUISVILLE SLUGGER / MADE IN U.S.A.].","Place made: Louisville, Jefferson County, Kentucky","Place made: Louisville, Jefferson County, Kentucky",Louisville,Jefferson County,Kentucky,,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2013.211.2,https://nmaahc.si.edu/object/nmaahc_2013.211.2,Jersey for the St. Louis Cardinals worn by Curt Flood,,,,Clothing,Uniforms/Jerseys,"Rawlings, American, founded 1887",,,,,,,,,,,,"St. Louis Cardinals, American, founded 1881",Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,,,1966,1960s,,,,,,,,,,,,,,"This baseball jersey was game worn by Curt Flood in 1966 playing for the St. Louis Cardinals. The jersey is short-sleeved and collarless. It is made from a white synthetic fabric and closes down the center front using seven (7) pearlized white plastic buttons. The word ""Cardinals"" is embroidered in red rayon thread across the front chest with a gold tree limb above it and two (2) cardinals sitting on the limb. The embroidery goes across the front opening. The number ""21"" in red and blue felt is sewn at the proper right side below the embroidery. A red Rawlings manufacturer's label is sewn at the proper left side near the hem with an additional white label sewn just above the hem and below the red label containing care information. Red and blue felt letters and numbers are sewn on the back shoulders reading ""FLOOD / 21"". The jersey is not lined.","Place used: Saint Louis, Missouri","Place used: Saint Louis, Missouri",Saint Louis,Missouri,,,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2013.211.3,https://nmaahc.si.edu/object/nmaahc_2013.211.3,Jersey for the New York Yankees worn by Mariano Rivera,,,,Clothing,Uniforms/Jerseys,"Majestic Athletic, American, founded 1976",,,,,,,,,,,,"Signed by Mariano Rivera, Panamanian American, born 1969","New York Yankees, American, founded 1901",Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,,2009,2000s,,,,,,,,,,,,,,"A New York Yankees Mariano Rivera jersey. This is an away game jersey- grey with navy and white details. The jersey has a slight v-neck. There are two (2) buttons at the top and four (4) buttons going from the middle down to the bottom of the jersey on the proper right side. The bands of the sleeves have three (3) stripes- navy on the top and bottom and white in the middle. The words [NEW YORK] are sewn on across the chest, with ""NEW"" on the proper right and ""YORK"" on the proper left. The letters are navy with a white border. On the lower proper right side of the jersey there is a white manufacturer's label. There is a red dotted rectangle which contains the Major Leage Baseball logo in red and navy, the word [Authentic] in a red script with navy outlining, and the word [COLLECTION {TM}] underneath ""Authentic"" in grey. Under the rectangle there is the Majestic logo in red and navy along with the words [Majestic {R} ATHLETIC] in navy. There are two (2) smaller labels underneath the manufacturer's label- a rectangle shaped label with the year [2009] printed in black ink and a square label with the number [46] sewn on with black thread.The proper left sleeve has a patch in the lower center near the stripes. It is a circular patch with an image of Yankee stadium in white tan and navy. There is a white tan and gold scroll banner underneath with the year [2009] in navy. The center circle is navy and there are five (5) rings around it- (from the center to the outer level: tan white gold white and navy). In the top half of the yellow ring are the words [YANKEE STADIUM] in navy and the words [INAUGURAL SEASON] in the bottom half. The back of the jersey has a red and navy MLB logo at the neck. There is a large number [42] sewn on in the center of the upper back. The numbers are navy with a white border. The signature [Mariano Rivera #42] is written in silver marker in the number """"4"""". At the bottom of the number """"4"""" there is an oval sticker. [X34638] is typed in black in inside of a rectangle. Behind the rectangle there is an unidentifiable signature in red.","Place used: Arlington, Tarrant County, Texas; Place made: Easton, Northampton County, Pennsylvania","Place used: Arlington, Tarrant County, Texas; Place made: Easton, Northampton County, Pennsylvania",Arlington,Tarrant County,Texas,Easton,Northampton County,Pennsylvania,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2014.297.1,https://nmaahc.si.edu/object/nmaahc_2014.297.1,Jersey for the Atlanta Braves worn and autographed by Hank Aaron,,,,Clothing,Uniforms/Jerseys,"Spalding, American, founded 1876",,,,,,,,,,,,Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,,,,1968-1969,1960s,,,,,,,,,,,,,,"Atlanta Braves ""away"" or ""road"" jersey worn by Hank Aaron during the 1968 or 1969 MLB season. Jersey is grey in color with blue and red stitched type on front and back. Type on front chest area reads, [Braves]. Type on back reads, [44]. Patch on PR sleeve features an MLB logo with red type that reads, [100th ANNIVERSARY]. Patch on PL sleeve features an illustration of a caricatured American Indian face. Hank Aaron autograph in lower portion of jersey's front. Next to signature are several labels including a Spalding label and a size ""40"" label. Label with blue ink on inside of neckline reads, [44 40 68].","Place depicted: Atlanta, Fulton County, Georgia","Place depicted: Atlanta, Fulton County, Georgia",,Atlanta,Fulton County,Georgia,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2015.206.2.1,https://nmaahc.si.edu/object/nmaahc_2015.206.2.1,Baseball cap from the Memphis Red Sox,,,,Clothing,Baseball Hats,Unidentified,,,,,,,,,,,,,Baseball,Clothing and dress,,,,,,,,,,,,,,,,,,ca. 1945,1940s,,,,,,,,,,,,,,"Memphis Red Sox baseball cap from the 1940s. The cap is a game-worn, wool, blue baseball-style cap. It has a stiff front brim and the crown is divided into six panels with white-stitched air holes in each panel. A white patch reading [M] has been sewn to the front and is outlined in red. The underside of the brim is green. There is a brown, leather headband running almost around the entire bottom interior of the hat. The front two panels of the interior of the hat are lined with a stiff white canvas. There is a torn, partial tag attached to the back edge of the leather band on the proper right side that reads [D[---?] / [---?] / [---?] / In[---?] / SHO[---?] / [---? ]].","Place used: Memphis, Shelby County, Tennessee","Place used: Memphis, Shelby County, Tennessee",Memphis,Shelby County,Tennessee,,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2015.206.2.2,https://nmaahc.si.edu/object/nmaahc_2015.206.2.2,Baseball jersey worn by Neil Robinson for the Memphis Red Sox,,,,Clothing,Uniforms/Jerseys,"P. GoldSmith & Sons, American, 1875 - 1987",,,,,,,,,,,,"Memphis Red Sox, American, 1923 - 1962",Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,,,ca. 1945,1940s,,,,,,,,,,,,,,"Memphis Red Sox baseball jersey worn by Neil Robinson during the 1940s. The game-worn, baseball jersey is made from light gray and white wool woven fabric. It is short-sleeved with a round neckline. There is blue piping stitched over red ribbon that outlines the neckline running down the button band, around the sleeve seams, and across the top of the shoulders. Blue wool patch letters, outlined in red wool patches, are sewn across the front of the jersey and read [MEMPHIS]. The [MEM] is on the proper right side of the jersey and [PHIS] across the proper left side of the jersey with the [P] in the button band. There are seven button holes running down the proper left side of the button band. There are six buttons on the proper right side of the button band: five (5) mother-of-pearl buttons and one (1) green plastic button. The third button from the top is missing. On the back of the jersey, blue wool patch numbers outlined in red wool patches is the number [22] sewn across top center area. A red, white, and blue shield-shaped patch has been sewn onto the proper left sleeve of the jersey. The top field of the patch is blue with thirteen (13) white stars. The bottom of the patch is red with small white stripes. The bottom of the jersey has small slits that run up the proper left and proper right sides of the jersey. The tag on the inside of the neckband is black with red and white stitched letters that read, [MACGREGOR / GOLDSMITH / CINCINNATI, OHIO, U.S.A. / T.M. REG. U.S.A. & FOREIGN COUNTRIES] with [SIZE /44] stitched to the far right and the company logo stitched on the far left of the tag.","Place made: Cincinnati, Hamilton County, Ohio; Place used: Memphis, Shelby County, Tennessee","Place made: Cincinnati, Hamilton County, Ohio; Place used: Memphis, Shelby County, Tennessee",Cincinnati,Hamilton County,Ohio,Memphis,Shelby County,Tennessee,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2016.121.3,https://nmaahc.si.edu/object/nmaahc_2016.121.3,Purple Atlanta Braves baseball cap owned by Big Boi,,,,Clothing,Baseball Hats,"New Era Cap Company, founded 1920",,,,,,,,,,,,,Baseball,Clothing and dress,Fashion,Hip hop (Music),Musicians,,,,,,,,,,,,,,,2013,2010s,,,,,,,,,,,,,,"A limited release design New Era Cap Company fitted baseball cap with the Major League Baseball Atlanta Braves logo owned by Big Boi. The cap is purple with a rainbow-colored embroidered ""A"" at the center front crown, matching the album cover for Big Boi's solo release, ""Vicious Lies and Dangerous Rumors"" (2013). The New Era logo is embroidered on the proper left side and the Major League Baseball logo is embroidered on the center back, both in the same colors as the ""A"". The interior of the crown is lined with a multi-colored shiny fabric, with each seam covered in black woven tape featuring repeating white printed text reading ""59FIFTY  NE  NEW / ERA"". There are four (4) tags on the interior center back of the cap. At the far left is a tag with the Major League Baseball logo and the text ""GENUINE / MERCHANDISE"". At the center is a brand tag reading ""NEW / ERA / FLY YOUR OWN FLAG"". At the far right is a size ""7 1/2"" tag. Below the center brand tag is an additional tag with fiber content, care, and manufacturer information. There are two (2) holographic stickers on the brim of the cap. On the top side is a gold and black sticker reading ""NEW ERA / 59FIFTY / 7 1/2"". On the bottom side is a silver sticker with red marks made to look like a baseball and text reading ""OFFICIAL / MAJOR LEAGUE BASEBALL / LR358006037"".",,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2016.92.1,https://nmaahc.si.edu/object/nmaahc_2016.92.1,Wool sweater for the Eastern Colored League,,,,Clothing,Sweaters,Unidentified,,,,,,,,,,,,,Baseball,Clothing and dress,Segregation,,,,,,,,,,,,,,,,,1923-1928,1920s,,,,,,,,,,,,,,An Eastern Colored League wool sweater.  A black sweater with the letters ECL sewn in gold felt and positioned vertically and overlapping on the proper left side. There are six (6) black buttons going down the proper left center of the shirt. There is a small waist pocket on either side of the sweater at the third button from the bottom. At the bottom of the sweater and each sleeve is a black cuff.  There is a tan manufacturer's label inside the sweater at the back of the neck. It has black text sewn onto it. There is a black rectangular border. There is a circle logo in the middle  splitting up the text. It is a circle with a black shape in the middle. The text reads [THE / SIGN / OF / QUALITY] and the black shape reads [M & H]. The text inside the rectangle reads [Sportsmen's Outfitters / FISHING TACKLE EXPERTS / 430 Market St. Philadelphia].,,,,,,,,,,,,,,,,,No Known Copyright Restrictions
Smithsonian National Museum of African American History and Culture,2012.125.46.2,https://nmaahc.si.edu/object/nmaahc_2012.125.46.2,Texas Rangers basball uniform short pants worn by Charley Pride,,,,Clothing,Uniforms/Jerseys,"Manufactured by Rawlings, American, founded 1887",,,,,,,,,,,,"Texas Rangers, American, founded 1961",Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,,,1984,1980s,,,,,,,,,,,,,,"This Texas Rangers baseball uniform was worn by Charley Pride. The white knit pants have a wide blue stripe running down each leg, with the legs ending below the knee. The hem of each leg has elastic. The waistband is made from a red, white, and blue striped band of fabric. The pants close at the center front waist with three (3) metal snaps each faced in the color of the stripe of the band, and a metal zipper. There is also a white drawstring on the inside of the waistband that ties at the center front. There are two (2) inset pockets, one on each back side below the waist. Each pocket closes with one (1) pearlized round plastic button. The inside waistband is made from a wide band of white elastic. The name ""PRIDE 05"" is handwritten in black in on the interior proper left back side of the waistband. A red manufacturer's label for Rawlings is sewn at the interior proper right back side of the waistband that also contains size and care information. A white fabric label with hand-embroidered red text is sewn at the interior center back waist band that reads ""5 34/36 24 84 1"" with a small tag sewn to the right side with printed text reading ""SET 1 / 1984"". Pride, who had played in the Negro Leagues as a pitcher for the Memphis Red Sox, began training with the Texas Rangers in 1972 and has owned a small stake in the team since 2010.""",Place depicted: Texas,Place depicted: Texas,Texas,,,,,,,,,,,,,,Public Domain
Smithsonian National Museum of African American History and Culture,2016.159.5,https://nmaahc.si.edu/object/nmaahc_2016.159.5,San Francisco Giants spring training jersey worn and signed by Willie Mays,"Derek Jeter, Tampa, Fl. 2003",,,Clothing,Uniforms/Jerseys,,,,,,,,,,,,,"Signed by Willie Howard Mays Jr., American, born 1931","Major League Baseball, American, founded 1869","San Francisco Giants, American, founded 1958",Athletes,Baseball,Clothing and dress,,,,,,,,,,,,,,,1959,1950s,,,,,Jock Michael Smith Collection,,,,,,,,,"A short-sleeved beige baseball jersey. There are seven (7) clear plastic buttons going down the center front of the jersey on the proper right side and the buttonholes are on the proper left side. The jersey reads [GIANTS] across the front with the ""GIA"" on the proper right side and the ""NTS"" on the proper left side. The ""G"" and the ""S"" have a series of curves and pints around them. The letters are black patches with orange outlines.  The neckline has a thin black stripe going around it with an orange line on either side. There is a thin black band going around the bottom of each sleeve with a thin orange band on either side of the black band. There is a slit on either side of the jersey starting at the bottom and going up a couple of inches. There are several small holes near the armpits. The proper right side of the jersey is signed in blue ink. It reads [Willie Mays]. It is signed diagonally and is placed several inches down below the """"G"""". On the bottom proper left side of the jersey there are two rectangular felt pieces sewn on with white thread. The top piece has [W. Mays] sewn onto it in black thread. The bottom piece has [1959] sewn onto it in black thread. The back of the jersey has a large [24] sewn onto it. The numbers are black patches with an orange background. It is located in the center of the top half of the jersey. There is an interior manufacturer's label near the neckline. The tag is white and has black and red lines. There is a red [Wilson] logo at the top. Below there are cleaning instructions in three steps typed in black. To the proper left of the instructions there is a size [42] typed in black. At the bottom is reads [WILSON SPORTING GOODS CO. /MADE IN U.S.A.] in black.","Place used: San Francisco, California","Place used: San Francisco, California",San Francisco,California,,,,,,,,,,,,,No Known Copyright Restrictions
